itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
UAEREG-03998,construction,Authority Approvals - MOEI,MOEI - Major Project Transport - Inspection Request,"Prepare, coordinate, submit, track and close out the inspection request process for major project transport requirements with MOEI, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.moei.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05155,construction,Authority Approvals - RTA,RTA - Standard Traffic Diversion - Comment Response,"Prepare, coordinate, submit, track and close out the comment response process for standard traffic diversion requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05156,construction,Authority Approvals - RTA,RTA - Standard Traffic Diversion - Completion Certificate,"Prepare, coordinate, submit, track and close out the completion certificate process for standard traffic diversion requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05157,construction,Authority Approvals - RTA,RTA - Standard Traffic Diversion - Document Preparation,"Prepare, coordinate, submit, track and close out the document preparation process for standard traffic diversion requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05158,construction,Authority Approvals - RTA,RTA - Standard Traffic Diversion - Final Approval,"Prepare, coordinate, submit, track and close out the final approval process for standard traffic diversion requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05159,construction,Authority Approvals - RTA,RTA - Standard Traffic Diversion - Initial Submission,"Prepare, coordinate, submit, track and close out the initial submission process for standard traffic diversion requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05160,construction,Authority Approvals - RTA,RTA - Standard Traffic Diversion - Inspection Request,"Prepare, coordinate, submit, track and close out the inspection request process for standard traffic diversion requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05161,construction,Authority Approvals - RTA,RTA - Standard Traffic Diversion - NOC Application,"Prepare, coordinate, submit, track and close out the noc application process for standard traffic diversion requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05162,construction,Authority Approvals - RTA,RTA - Standard Traffic Diversion - Permit Application,"Prepare, coordinate, submit, track and close out the permit application process for standard traffic diversion requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05163,construction,Authority Approvals - RTA,RTA - Standard Traffic Diversion - Pre-Application Consultation,"Prepare, coordinate, submit, track and close out the pre-application consultation process for standard traffic diversion requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05164,construction,Authority Approvals - RTA,RTA - Standard Traffic Diversion - Renewal or Extension,"Prepare, coordinate, submit, track and close out the renewal or extension process for standard traffic diversion requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05165,construction,Authority Approvals - RTA,RTA - Standard Traffic Diversion - Resubmission,"Prepare, coordinate, submit, track and close out the resubmission process for standard traffic diversion requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05166,construction,Authority Approvals - RTA,RTA - Standard Traffic Diversion - Technical Review,"Prepare, coordinate, submit, track and close out the technical review process for standard traffic diversion requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05167,construction,Authority Approvals - RTA,RTA - Standard Traffic Signage - Authority Witness Test,"Prepare, coordinate, submit, track and close out the authority witness test process for standard traffic signage requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05168,construction,Authority Approvals - RTA,RTA - Standard Traffic Signage - Closeout Submission,"Prepare, coordinate, submit, track and close out the closeout submission process for standard traffic signage requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05169,construction,Authority Approvals - RTA,RTA - Standard Traffic Signage - Comment Response,"Prepare, coordinate, submit, track and close out the comment response process for standard traffic signage requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05170,construction,Authority Approvals - RTA,RTA - Standard Traffic Signage - Completion Certificate,"Prepare, coordinate, submit, track and close out the completion certificate process for standard traffic signage requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05171,construction,Authority Approvals - RTA,RTA - Standard Traffic Signage - Document Preparation,"Prepare, coordinate, submit, track and close out the document preparation process for standard traffic signage requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05172,construction,Authority Approvals - RTA,RTA - Standard Traffic Signage - Final Approval,"Prepare, coordinate, submit, track and close out the final approval process for standard traffic signage requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05173,construction,Authority Approvals - RTA,RTA - Standard Traffic Signage - Initial Submission,"Prepare, coordinate, submit, track and close out the initial submission process for standard traffic signage requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05174,construction,Authority Approvals - RTA,RTA - Standard Traffic Signage - Inspection Request,"Prepare, coordinate, submit, track and close out the inspection request process for standard traffic signage requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05175,construction,Authority Approvals - RTA,RTA - Standard Traffic Signage - NOC Application,"Prepare, coordinate, submit, track and close out the noc application process for standard traffic signage requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05176,construction,Authority Approvals - RTA,RTA - Standard Traffic Signage - Permit Application,"Prepare, coordinate, submit, track and close out the permit application process for standard traffic signage requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05177,construction,Authority Approvals - RTA,RTA - Standard Traffic Signage - Pre-Application Consultation,"Prepare, coordinate, submit, track and close out the pre-application consultation process for standard traffic signage requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05178,construction,Authority Approvals - RTA,RTA - Standard Traffic Signage - Renewal or Extension,"Prepare, coordinate, submit, track and close out the renewal or extension process for standard traffic signage requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05179,construction,Authority Approvals - RTA,RTA - Standard Traffic Signage - Resubmission,"Prepare, coordinate, submit, track and close out the resubmission process for standard traffic signage requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05180,construction,Authority Approvals - RTA,RTA - Standard Traffic Signage - Technical Review,"Prepare, coordinate, submit, track and close out the technical review process for standard traffic signage requirements with RTA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 32 00 00 / 34 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.rta.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05181,construction,Authority Approvals - SEWA,SEWA - Expedited Electricity - Authority Witness Test,"Prepare, coordinate, submit, track and close out the authority witness test process for expedited electricity requirements with SEWA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 33 00 00 / 26 00 00 / 22 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.sewa.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05182,construction,Authority Approvals - SEWA,SEWA - Expedited Electricity - Closeout Submission,"Prepare, coordinate, submit, track and close out the closeout submission process for expedited electricity requirements with SEWA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 33 00 00 / 26 00 00 / 22 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.sewa.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05183,construction,Authority Approvals - SEWA,SEWA - Expedited Electricity - Comment Response,"Prepare, coordinate, submit, track and close out the comment response process for expedited electricity requirements with SEWA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 33 00 00 / 26 00 00 / 22 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.sewa.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05184,construction,Authority Approvals - SEWA,SEWA - Expedited Electricity - Completion Certificate,"Prepare, coordinate, submit, track and close out the completion certificate process for expedited electricity requirements with SEWA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 33 00 00 / 26 00 00 / 22 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.sewa.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05185,construction,Authority Approvals - SEWA,SEWA - Expedited Electricity - Document Preparation,"Prepare, coordinate, submit, track and close out the document preparation process for expedited electricity requirements with SEWA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 33 00 00 / 26 00 00 / 22 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.sewa.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05186,construction,Authority Approvals - SEWA,SEWA - Expedited Electricity - Final Approval,"Prepare, coordinate, submit, track and close out the final approval process for expedited electricity requirements with SEWA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 33 00 00 / 26 00 00 / 22 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.sewa.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05187,construction,Authority Approvals - SEWA,SEWA - Expedited Electricity - Initial Submission,"Prepare, coordinate, submit, track and close out the initial submission process for expedited electricity requirements with SEWA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 33 00 00 / 26 00 00 / 22 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.sewa.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05188,construction,Authority Approvals - SEWA,SEWA - Expedited Electricity - Inspection Request,"Prepare, coordinate, submit, track and close out the inspection request process for expedited electricity requirements with SEWA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 33 00 00 / 26 00 00 / 22 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.sewa.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05189,construction,Authority Approvals - SEWA,SEWA - Expedited Electricity - NOC Application,"Prepare, coordinate, submit, track and close out the noc application process for expedited electricity requirements with SEWA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 33 00 00 / 26 00 00 / 22 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.sewa.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05190,construction,Authority Approvals - SEWA,SEWA - Expedited Electricity - Permit Application,"Prepare, coordinate, submit, track and close out the permit application process for expedited electricity requirements with SEWA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 33 00 00 / 26 00 00 / 22 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.sewa.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05191,construction,Authority Approvals - SEWA,SEWA - Expedited Electricity - Pre-Application Consultation,"Prepare, coordinate, submit, track and close out the pre-application consultation process for expedited electricity requirements with SEWA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 33 00 00 / 26 00 00 / 22 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.sewa.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05192,construction,Authority Approvals - SEWA,SEWA - Expedited Electricity - Renewal or Extension,"Prepare, coordinate, submit, track and close out the renewal or extension process for expedited electricity requirements with SEWA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 33 00 00 / 26 00 00 / 22 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.sewa.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-05193,construction,Authority Approvals - SEWA,SEWA - Expedited Electricity - Resubmission,"Prepare, coordinate, submit, track and close out the resubmission process for expedited electricity requirements with SEWA, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 33 00 00 / 26 00 00 / 22 00 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.sewa.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
