itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
UAEREG-07995,construction,Authority Inspections and Witness Tests,Abu Dhabi Municipality / DMT - Reinspection - Fiber Test Witness,"Arrange, prepare for and attend reinspection fiber test witness with Abu Dhabi Municipality / DMT, including booking, prerecords, calibrated instruments, test team, corrective actions and signed results. | Code Ref: 01 45 00 | Spec: Inspection/Test Type: ___ | Location/System: ___ | Booking Reference: ___ | Date: ___ | Witness Officer: ___ | Calibrated Instruments: ___ | Acceptance Criteria: ___ | Result: ___ | Reinspection Required: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Authority attendance and acceptance criteria must be confirmed before testing.",,test,,,,,,,
UAEREG-09101,construction,Authority Submission Deliverables - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence Fire Fighting - Test Certificates,"Prepare and submit test certificates for fire fighting approval by Abu Dhabi Civil Defence, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 21 00 00 / 28 31 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09102,construction,Authority Submission Deliverables - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence Fire and Life Safety - Application Form,"Prepare and submit application form for fire and life safety approval by Abu Dhabi Civil Defence, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 21 00 00 / 28 31 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09103,construction,Authority Submission Deliverables - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence Fire and Life Safety - As-Built Drawings,"Prepare and submit as-built drawings for fire and life safety approval by Abu Dhabi Civil Defence, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 21 00 00 / 28 31 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09104,construction,Authority Submission Deliverables - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence Fire and Life Safety - Commissioning Report,"Prepare and submit commissioning report for fire and life safety approval by Abu Dhabi Civil Defence, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 21 00 00 / 28 31 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09105,construction,Authority Submission Deliverables - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence Fire and Life Safety - Compliance Statement,"Prepare and submit compliance statement for fire and life safety approval by Abu Dhabi Civil Defence, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 21 00 00 / 28 31 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09106,construction,Authority Submission Deliverables - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence Fire and Life Safety - Design Drawings,"Prepare and submit design drawings for fire and life safety approval by Abu Dhabi Civil Defence, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 21 00 00 / 28 31 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09107,construction,Authority Submission Deliverables - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence Fire and Life Safety - Material Submittal,"Prepare and submit material submittal for fire and life safety approval by Abu Dhabi Civil Defence, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 21 00 00 / 28 31 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09108,construction,Authority Submission Deliverables - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence Fire and Life Safety - Method Statement,"Prepare and submit method statement for fire and life safety approval by Abu Dhabi Civil Defence, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 21 00 00 / 28 31 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09109,construction,Authority Submission Deliverables - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence Fire and Life Safety - NOC Package,"Prepare and submit noc package for fire and life safety approval by Abu Dhabi Civil Defence, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 21 00 00 / 28 31 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09110,construction,Authority Submission Deliverables - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence Fire and Life Safety - Permit Package,"Prepare and submit permit package for fire and life safety approval by Abu Dhabi Civil Defence, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 21 00 00 / 28 31 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09111,construction,Authority Submission Deliverables - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence Fire and Life Safety - Risk Assessment,"Prepare and submit risk assessment for fire and life safety approval by Abu Dhabi Civil Defence, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 21 00 00 / 28 31 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09112,construction,Authority Submission Deliverables - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence Fire and Life Safety - Shop Drawings,"Prepare and submit shop drawings for fire and life safety approval by Abu Dhabi Civil Defence, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 21 00 00 / 28 31 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09113,construction,Authority Submission Deliverables - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence Fire and Life Safety - Technical Calculations,"Prepare and submit technical calculations for fire and life safety approval by Abu Dhabi Civil Defence, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 21 00 00 / 28 31 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09114,construction,Authority Submission Deliverables - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence Fire and Life Safety - Test Certificates,"Prepare and submit test certificates for fire and life safety approval by Abu Dhabi Civil Defence, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 21 00 00 / 28 31 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09115,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Building Permit - Application Form,"Prepare and submit application form for building permit approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09116,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Building Permit - As-Built Drawings,"Prepare and submit as-built drawings for building permit approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09117,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Building Permit - Commissioning Report,"Prepare and submit commissioning report for building permit approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09118,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Building Permit - Compliance Statement,"Prepare and submit compliance statement for building permit approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09119,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Building Permit - Design Drawings,"Prepare and submit design drawings for building permit approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09120,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Building Permit - Material Submittal,"Prepare and submit material submittal for building permit approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09121,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Building Permit - Method Statement,"Prepare and submit method statement for building permit approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09122,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Building Permit - NOC Package,"Prepare and submit noc package for building permit approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09123,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Building Permit - Permit Package,"Prepare and submit permit package for building permit approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09124,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Building Permit - Risk Assessment,"Prepare and submit risk assessment for building permit approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09125,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Building Permit - Shop Drawings,"Prepare and submit shop drawings for building permit approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09126,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Building Permit - Technical Calculations,"Prepare and submit technical calculations for building permit approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09127,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Building Permit - Test Certificates,"Prepare and submit test certificates for building permit approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09128,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Completion - Application Form,"Prepare and submit application form for completion approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09129,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Completion - As-Built Drawings,"Prepare and submit as-built drawings for completion approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09130,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Completion - Commissioning Report,"Prepare and submit commissioning report for completion approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09131,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Completion - Compliance Statement,"Prepare and submit compliance statement for completion approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09132,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Completion - Design Drawings,"Prepare and submit design drawings for completion approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09133,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Completion - Material Submittal,"Prepare and submit material submittal for completion approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09134,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Completion - Method Statement,"Prepare and submit method statement for completion approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09135,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Completion - NOC Package,"Prepare and submit noc package for completion approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09136,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Completion - Permit Package,"Prepare and submit permit package for completion approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09137,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Completion - Risk Assessment,"Prepare and submit risk assessment for completion approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09138,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Completion - Shop Drawings,"Prepare and submit shop drawings for completion approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09139,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Completion - Technical Calculations,"Prepare and submit technical calculations for completion approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09140,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Completion - Test Certificates,"Prepare and submit test certificates for completion approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 01 41 00 / 01 33 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09141,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Drainage - Application Form,"Prepare and submit application form for drainage approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 33 00 00 / 26 00 00 / 22 00 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09142,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Drainage - As-Built Drawings,"Prepare and submit as-built drawings for drainage approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 33 00 00 / 26 00 00 / 22 00 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09143,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Drainage - Commissioning Report,"Prepare and submit commissioning report for drainage approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 33 00 00 / 26 00 00 / 22 00 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09144,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Drainage - Compliance Statement,"Prepare and submit compliance statement for drainage approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 33 00 00 / 26 00 00 / 22 00 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
UAEREG-09145,construction,Authority Submission Deliverables - Abu Dhabi Municipality / DMT,Abu Dhabi Municipality / DMT Drainage - Design Drawings,"Prepare and submit design drawings for drainage approval by Abu Dhabi Municipality / DMT, including coordination, revisions, signatures, stamps and document register updates. | Code Ref: 33 00 00 / 26 00 00 / 22 00 00 | Spec: Deliverable Reference: ___ | Revision: ___ | Prepared By: ___ | Reviewed By: ___ | Signed/Stamped By: ___ | Format: ___ | Portal Requirement: ___ | Approval Status: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Requirements are pattern-based and must be checked against the live authority portal.",,item,,,,,,,
