itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
BIMDD-00001,construction,BIM Models,Authoring - Architectural Model - LOD 100 - RVT,"Prepare, coordinate and submit LOD 100 architectural BIM model for authoring in RVT format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01385,construction,BIM Models,Approval - Mechanical Model - LOD 300 - RVT,"Prepare, coordinate and submit LOD 300 mechanical BIM model for approval in RVT format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01386,construction,BIM Models,Approval - Mechanical Model - LOD 300 - IFC,"Prepare, coordinate and submit LOD 300 mechanical BIM model for approval in IFC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01387,construction,BIM Models,Approval - Mechanical Model - LOD 300 - NWC,"Prepare, coordinate and submit LOD 300 mechanical BIM model for approval in NWC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01388,construction,BIM Models,Approval - Mechanical Model - LOD 300 - NWD,"Prepare, coordinate and submit LOD 300 mechanical BIM model for approval in NWD format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01389,construction,BIM Models,Approval - Mechanical Model - LOD 300 - DWG,"Prepare, coordinate and submit LOD 300 mechanical BIM model for approval in DWG format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01390,construction,BIM Models,Approval - Mechanical Model - LOD 300 - BCF,"Prepare, coordinate and submit LOD 300 mechanical BIM model for approval in BCF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01391,construction,BIM Models,Approval - Mechanical Model - LOD 300 - COBie,"Prepare, coordinate and submit LOD 300 mechanical BIM model for approval in COBie format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01392,construction,BIM Models,Approval - Mechanical Model - LOD 300 - PDF,"Prepare, coordinate and submit LOD 300 mechanical BIM model for approval in PDF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01393,construction,BIM Models,Final Submission - Mechanical Model - LOD 300 - RVT,"Prepare, coordinate and submit LOD 300 mechanical BIM model for final submission in RVT format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01394,construction,BIM Models,Final Submission - Mechanical Model - LOD 300 - IFC,"Prepare, coordinate and submit LOD 300 mechanical BIM model for final submission in IFC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01395,construction,BIM Models,Final Submission - Mechanical Model - LOD 300 - NWC,"Prepare, coordinate and submit LOD 300 mechanical BIM model for final submission in NWC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01396,construction,BIM Models,Final Submission - Mechanical Model - LOD 300 - NWD,"Prepare, coordinate and submit LOD 300 mechanical BIM model for final submission in NWD format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01397,construction,BIM Models,Final Submission - Mechanical Model - LOD 300 - DWG,"Prepare, coordinate and submit LOD 300 mechanical BIM model for final submission in DWG format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01398,construction,BIM Models,Final Submission - Mechanical Model - LOD 300 - BCF,"Prepare, coordinate and submit LOD 300 mechanical BIM model for final submission in BCF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01399,construction,BIM Models,Final Submission - Mechanical Model - LOD 300 - COBie,"Prepare, coordinate and submit LOD 300 mechanical BIM model for final submission in COBie format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01400,construction,BIM Models,Final Submission - Mechanical Model - LOD 300 - PDF,"Prepare, coordinate and submit LOD 300 mechanical BIM model for final submission in PDF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01401,construction,BIM Models,Authoring - Electrical Model - LOD 300 - RVT,"Prepare, coordinate and submit LOD 300 electrical BIM model for authoring in RVT format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01402,construction,BIM Models,Authoring - Electrical Model - LOD 300 - IFC,"Prepare, coordinate and submit LOD 300 electrical BIM model for authoring in IFC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01403,construction,BIM Models,Authoring - Electrical Model - LOD 300 - NWC,"Prepare, coordinate and submit LOD 300 electrical BIM model for authoring in NWC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01404,construction,BIM Models,Authoring - Electrical Model - LOD 300 - NWD,"Prepare, coordinate and submit LOD 300 electrical BIM model for authoring in NWD format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01405,construction,BIM Models,Authoring - Electrical Model - LOD 300 - DWG,"Prepare, coordinate and submit LOD 300 electrical BIM model for authoring in DWG format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01406,construction,BIM Models,Authoring - Electrical Model - LOD 300 - BCF,"Prepare, coordinate and submit LOD 300 electrical BIM model for authoring in BCF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01407,construction,BIM Models,Authoring - Electrical Model - LOD 300 - COBie,"Prepare, coordinate and submit LOD 300 electrical BIM model for authoring in COBie format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01408,construction,BIM Models,Authoring - Electrical Model - LOD 300 - PDF,"Prepare, coordinate and submit LOD 300 electrical BIM model for authoring in PDF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01409,construction,BIM Models,Update - Electrical Model - LOD 300 - RVT,"Prepare, coordinate and submit LOD 300 electrical BIM model for update in RVT format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01410,construction,BIM Models,Update - Electrical Model - LOD 300 - IFC,"Prepare, coordinate and submit LOD 300 electrical BIM model for update in IFC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01411,construction,BIM Models,Update - Electrical Model - LOD 300 - NWC,"Prepare, coordinate and submit LOD 300 electrical BIM model for update in NWC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01412,construction,BIM Models,Update - Electrical Model - LOD 300 - NWD,"Prepare, coordinate and submit LOD 300 electrical BIM model for update in NWD format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01413,construction,BIM Models,Update - Electrical Model - LOD 300 - DWG,"Prepare, coordinate and submit LOD 300 electrical BIM model for update in DWG format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01414,construction,BIM Models,Update - Electrical Model - LOD 300 - BCF,"Prepare, coordinate and submit LOD 300 electrical BIM model for update in BCF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01415,construction,BIM Models,Update - Electrical Model - LOD 300 - COBie,"Prepare, coordinate and submit LOD 300 electrical BIM model for update in COBie format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01416,construction,BIM Models,Update - Electrical Model - LOD 300 - PDF,"Prepare, coordinate and submit LOD 300 electrical BIM model for update in PDF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01417,construction,BIM Models,Coordination - Electrical Model - LOD 300 - RVT,"Prepare, coordinate and submit LOD 300 electrical BIM model for coordination in RVT format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01418,construction,BIM Models,Coordination - Electrical Model - LOD 300 - IFC,"Prepare, coordinate and submit LOD 300 electrical BIM model for coordination in IFC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01419,construction,BIM Models,Coordination - Electrical Model - LOD 300 - NWC,"Prepare, coordinate and submit LOD 300 electrical BIM model for coordination in NWC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01420,construction,BIM Models,Coordination - Electrical Model - LOD 300 - NWD,"Prepare, coordinate and submit LOD 300 electrical BIM model for coordination in NWD format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01421,construction,BIM Models,Coordination - Electrical Model - LOD 300 - DWG,"Prepare, coordinate and submit LOD 300 electrical BIM model for coordination in DWG format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01422,construction,BIM Models,Coordination - Electrical Model - LOD 300 - BCF,"Prepare, coordinate and submit LOD 300 electrical BIM model for coordination in BCF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01423,construction,BIM Models,Coordination - Electrical Model - LOD 300 - COBie,"Prepare, coordinate and submit LOD 300 electrical BIM model for coordination in COBie format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01424,construction,BIM Models,Coordination - Electrical Model - LOD 300 - PDF,"Prepare, coordinate and submit LOD 300 electrical BIM model for coordination in PDF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01425,construction,BIM Models,Review - Electrical Model - LOD 300 - RVT,"Prepare, coordinate and submit LOD 300 electrical BIM model for review in RVT format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01426,construction,BIM Models,Review - Electrical Model - LOD 300 - IFC,"Prepare, coordinate and submit LOD 300 electrical BIM model for review in IFC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01427,construction,BIM Models,Review - Electrical Model - LOD 300 - NWC,"Prepare, coordinate and submit LOD 300 electrical BIM model for review in NWC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01428,construction,BIM Models,Review - Electrical Model - LOD 300 - NWD,"Prepare, coordinate and submit LOD 300 electrical BIM model for review in NWD format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01429,construction,BIM Models,Review - Electrical Model - LOD 300 - DWG,"Prepare, coordinate and submit LOD 300 electrical BIM model for review in DWG format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01430,construction,BIM Models,Review - Electrical Model - LOD 300 - BCF,"Prepare, coordinate and submit LOD 300 electrical BIM model for review in BCF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01431,construction,BIM Models,Review - Electrical Model - LOD 300 - COBie,"Prepare, coordinate and submit LOD 300 electrical BIM model for review in COBie format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01432,construction,BIM Models,Review - Electrical Model - LOD 300 - PDF,"Prepare, coordinate and submit LOD 300 electrical BIM model for review in PDF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01433,construction,BIM Models,Validation - Electrical Model - LOD 300 - RVT,"Prepare, coordinate and submit LOD 300 electrical BIM model for validation in RVT format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01434,construction,BIM Models,Validation - Electrical Model - LOD 300 - IFC,"Prepare, coordinate and submit LOD 300 electrical BIM model for validation in IFC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01435,construction,BIM Models,Validation - Electrical Model - LOD 300 - NWC,"Prepare, coordinate and submit LOD 300 electrical BIM model for validation in NWC format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01436,construction,BIM Models,Validation - Electrical Model - LOD 300 - NWD,"Prepare, coordinate and submit LOD 300 electrical BIM model for validation in NWD format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01437,construction,BIM Models,Validation - Electrical Model - LOD 300 - DWG,"Prepare, coordinate and submit LOD 300 electrical BIM model for validation in DWG format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01438,construction,BIM Models,Validation - Electrical Model - LOD 300 - BCF,"Prepare, coordinate and submit LOD 300 electrical BIM model for validation in BCF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01439,construction,BIM Models,Validation - Electrical Model - LOD 300 - COBie,"Prepare, coordinate and submit LOD 300 electrical BIM model for validation in COBie format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
BIMDD-01440,construction,BIM Models,Validation - Electrical Model - LOD 300 - PDF,"Prepare, coordinate and submit LOD 300 electrical BIM model for validation in PDF format including required metadata, parameters and QA checks. | Code Ref: 01 33 16 / OmniClass 23-11 31 | Spec: Software: ___ | Version: ___ | LOD: ___ | Format: ___ | BEP: ___ | EIR: ___ | Naming Standard: ___ | CDE: ___ | Remarks: Pattern-based digital deliverable. Populate software platform, exchange format, BEP, EIR and project standards during execution.",,model,,,,,,,
