itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-00318,plumbing,Instrumentation and Controls,Drainage/Sewage - BMS Interface Module,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission bms interface module for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00371,plumbing,Instrumentation and Controls,Hot Water - Turbidity Sensor,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission turbidity sensor for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00372,plumbing,Instrumentation and Controls,Hot Water - Ultrasonic Water Meter,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission ultrasonic water meter for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00373,plumbing,Instrumentation and Controls,Hot Water - Water Meter,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission water meter for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00374,plumbing,Instrumentation and Controls,Hot Water - Water Quality Analyzer,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission water quality analyzer for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00375,plumbing,Instrumentation and Controls,Hot Water - pH Sensor,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission ph sensor for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00376,plumbing,Instrumentation and Controls,Pool/Fountain - BMS Interface Module,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission bms interface module for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00377,plumbing,Instrumentation and Controls,Pool/Fountain - Compound Gauge,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission compound gauge for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00378,plumbing,Instrumentation and Controls,Pool/Fountain - Conductivity Sensor,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission conductivity sensor for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00379,plumbing,Instrumentation and Controls,Pool/Fountain - Control Panel,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission control panel for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00380,plumbing,Instrumentation and Controls,Pool/Fountain - Data Logger,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission data logger for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00381,plumbing,Instrumentation and Controls,Pool/Fountain - Differential Pressure Switch,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission differential pressure switch for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00382,plumbing,Instrumentation and Controls,Pool/Fountain - Dosing Control Panel,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission dosing control panel for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00383,plumbing,Instrumentation and Controls,Pool/Fountain - Electromagnetic Flow Meter,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission electromagnetic flow meter for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00384,plumbing,Instrumentation and Controls,Pool/Fountain - Float Switch,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission float switch for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00385,plumbing,Instrumentation and Controls,Pool/Fountain - Flow Meter,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission flow meter for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00386,plumbing,Instrumentation and Controls,Pool/Fountain - Leak Detection Sensor,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission leak detection sensor for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00387,plumbing,Instrumentation and Controls,Pool/Fountain - Level Gauge,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission level gauge for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00388,plumbing,Instrumentation and Controls,Pool/Fountain - Level Switch,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission level switch for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00389,plumbing,Instrumentation and Controls,Pool/Fountain - Pressure Gauge,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission pressure gauge for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00390,plumbing,Instrumentation and Controls,Pool/Fountain - Pressure Switch,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission pressure switch for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00391,plumbing,Instrumentation and Controls,Pool/Fountain - Pulse Output Module,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission pulse output module for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00392,plumbing,Instrumentation and Controls,Pool/Fountain - Pump Control Panel,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission pump control panel for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00393,plumbing,Instrumentation and Controls,Pool/Fountain - Remote Metering Module,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission remote metering module for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00394,plumbing,Instrumentation and Controls,Pool/Fountain - Residual Chlorine Sensor,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission residual chlorine sensor for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00395,plumbing,Instrumentation and Controls,Pool/Fountain - Sight Glass,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission sight glass for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00396,plumbing,Instrumentation and Controls,Pool/Fountain - Tank Level Control Panel,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission tank level control panel for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00397,plumbing,Instrumentation and Controls,Pool/Fountain - Temperature Gauge,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission temperature gauge for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00398,plumbing,Instrumentation and Controls,Pool/Fountain - Temperature Sensor,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission temperature sensor for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00399,plumbing,Instrumentation and Controls,Pool/Fountain - Thermometer,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission thermometer for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00400,plumbing,Instrumentation and Controls,Pool/Fountain - Turbidity Sensor,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission turbidity sensor for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00401,plumbing,Instrumentation and Controls,Pool/Fountain - Ultrasonic Water Meter,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission ultrasonic water meter for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00402,plumbing,Instrumentation and Controls,Pool/Fountain - Water Meter,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission water meter for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00403,plumbing,Instrumentation and Controls,Pool/Fountain - Water Quality Analyzer,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission water quality analyzer for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00404,plumbing,Instrumentation and Controls,Pool/Fountain - pH Sensor,"Subcategory: Pool/Fountain | Supply, install, calibrate, connect and commission ph sensor for pool/fountain service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00405,plumbing,Instrumentation and Controls,Potable Water - BMS Interface Module,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission bms interface module for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00406,plumbing,Instrumentation and Controls,Potable Water - Compound Gauge,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission compound gauge for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00407,plumbing,Instrumentation and Controls,Potable Water - Conductivity Sensor,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission conductivity sensor for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00408,plumbing,Instrumentation and Controls,Potable Water - Control Panel,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission control panel for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00409,plumbing,Instrumentation and Controls,Potable Water - Data Logger,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission data logger for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00410,plumbing,Instrumentation and Controls,Potable Water - Differential Pressure Switch,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission differential pressure switch for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00411,plumbing,Instrumentation and Controls,Potable Water - Dosing Control Panel,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission dosing control panel for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00412,plumbing,Instrumentation and Controls,Potable Water - Electromagnetic Flow Meter,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission electromagnetic flow meter for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00413,plumbing,Instrumentation and Controls,Potable Water - Float Switch,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission float switch for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00414,plumbing,Instrumentation and Controls,Potable Water - Flow Meter,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission flow meter for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00415,plumbing,Instrumentation and Controls,Potable Water - Leak Detection Sensor,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission leak detection sensor for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00416,plumbing,Instrumentation and Controls,Potable Water - Level Gauge,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission level gauge for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00417,plumbing,Instrumentation and Controls,Potable Water - Level Switch,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission level switch for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00418,plumbing,Instrumentation and Controls,Potable Water - Pressure Gauge,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission pressure gauge for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00419,plumbing,Instrumentation and Controls,Potable Water - Pressure Switch,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission pressure switch for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00420,plumbing,Instrumentation and Controls,Potable Water - Pulse Output Module,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission pulse output module for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00421,plumbing,Instrumentation and Controls,Potable Water - Pump Control Panel,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission pump control panel for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00422,plumbing,Instrumentation and Controls,Potable Water - Remote Metering Module,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission remote metering module for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00423,plumbing,Instrumentation and Controls,Potable Water - Residual Chlorine Sensor,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission residual chlorine sensor for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00424,plumbing,Instrumentation and Controls,Potable Water - Sight Glass,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission sight glass for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
