itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-06514,plumbing,Piping Systems,Non-Potable Water - PPR - Pipe Sleeve - 250-400 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission PPR pipe sleeve for non-potable water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06726,plumbing,Piping Systems,Non-Potable Water - uPVC Pressure - Union - 125-200 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission uPVC Pressure union for non-potable water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06727,plumbing,Piping Systems,Non-Potable Water - uPVC Pressure - Union - 15-25 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission uPVC Pressure union for non-potable water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06728,plumbing,Piping Systems,Non-Potable Water - uPVC Pressure - Union - 32-50 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission uPVC Pressure union for non-potable water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06729,plumbing,Piping Systems,Non-Potable Water - uPVC Pressure - Union - 65-100 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission uPVC Pressure union for non-potable water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06730,plumbing,Piping Systems,Non-Potable Water - uPVC Pressure - Wall Flange - 125-200 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission uPVC Pressure wall flange for non-potable water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06731,plumbing,Piping Systems,Non-Potable Water - uPVC Pressure - Wall Flange - 15-25 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission uPVC Pressure wall flange for non-potable water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06732,plumbing,Piping Systems,Non-Potable Water - uPVC Pressure - Wall Flange - 250-400 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission uPVC Pressure wall flange for non-potable water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06733,plumbing,Piping Systems,Non-Potable Water - uPVC Pressure - Wall Flange - 32-50 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission uPVC Pressure wall flange for non-potable water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06734,plumbing,Piping Systems,Non-Potable Water - uPVC Pressure - Wall Flange - 65-100 mm,"Subcategory: Non-Potable Water | Supply, install, joint, support, identify, test and commission uPVC Pressure wall flange for non-potable water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Water Quality: ___ | Pipe Standard: ___ | Identification Color: ___",,no.,,,,,,,
PLUMB-06735,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - 45 Degree Elbow - 125-200 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless 45 degree elbow for overflow drainage, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06736,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - 45 Degree Elbow - 15-25 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless 45 degree elbow for overflow drainage, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06737,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - 45 Degree Elbow - 250-400 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless 45 degree elbow for overflow drainage, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06738,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - 45 Degree Elbow - 32-50 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless 45 degree elbow for overflow drainage, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06739,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - 45 Degree Elbow - 65-100 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless 45 degree elbow for overflow drainage, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06740,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - 90 Degree Elbow - 125-200 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless 90 degree elbow for overflow drainage, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06741,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - 90 Degree Elbow - 15-25 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless 90 degree elbow for overflow drainage, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06742,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - 90 Degree Elbow - 250-400 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless 90 degree elbow for overflow drainage, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06743,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - 90 Degree Elbow - 32-50 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless 90 degree elbow for overflow drainage, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06744,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - 90 Degree Elbow - 65-100 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless 90 degree elbow for overflow drainage, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06745,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Access Fitting - 125-200 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless access fitting for overflow drainage, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06746,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Access Fitting - 15-25 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless access fitting for overflow drainage, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06747,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Access Fitting - 32-50 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless access fitting for overflow drainage, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06748,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Access Fitting - 65-100 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless access fitting for overflow drainage, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06749,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Cleanout Fitting - 125-200 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless cleanout fitting for overflow drainage, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06750,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Cleanout Fitting - 15-25 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless cleanout fitting for overflow drainage, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06751,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Cleanout Fitting - 32-50 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless cleanout fitting for overflow drainage, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06752,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Cleanout Fitting - 65-100 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless cleanout fitting for overflow drainage, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06753,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Concentric Reducer - 125-200 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless concentric reducer for overflow drainage, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06754,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Concentric Reducer - 15-25 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless concentric reducer for overflow drainage, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06755,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Concentric Reducer - 250-400 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless concentric reducer for overflow drainage, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06756,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Concentric Reducer - 32-50 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless concentric reducer for overflow drainage, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06757,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Concentric Reducer - 65-100 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless concentric reducer for overflow drainage, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06758,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Coupling - 125-200 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless coupling for overflow drainage, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06759,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Coupling - 15-25 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless coupling for overflow drainage, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06760,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Coupling - 250-400 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless coupling for overflow drainage, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06761,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Coupling - 32-50 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless coupling for overflow drainage, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06762,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Coupling - 65-100 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless coupling for overflow drainage, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06763,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Dismantling Joint - 125-200 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless dismantling joint for overflow drainage, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06764,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Dismantling Joint - 15-25 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless dismantling joint for overflow drainage, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06765,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Dismantling Joint - 250-400 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless dismantling joint for overflow drainage, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06766,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Dismantling Joint - 32-50 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless dismantling joint for overflow drainage, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06767,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Dismantling Joint - 65-100 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless dismantling joint for overflow drainage, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06768,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Eccentric Reducer - 125-200 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless eccentric reducer for overflow drainage, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06769,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Eccentric Reducer - 15-25 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless eccentric reducer for overflow drainage, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06770,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Eccentric Reducer - 250-400 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless eccentric reducer for overflow drainage, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06771,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Eccentric Reducer - 32-50 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless eccentric reducer for overflow drainage, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06772,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - Eccentric Reducer - 65-100 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless eccentric reducer for overflow drainage, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06773,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - End Cap - 125-200 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless end cap for overflow drainage, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-06774,plumbing,Piping Systems,Overflow Drainage - Cast Iron Hubless - End Cap - 15-25 mm,"Subcategory: Overflow Drainage | Supply, install, joint, support, identify, test and commission Cast Iron Hubless end cap for overflow drainage, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 14 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow Capacity: ___ | Pipe Standard: ___ | Discharge Location: ___ | Joint Type: ___",,no.,,,,,,,
