itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-10992,plumbing,Plumbing Fixtures,Accessible Bathtub - Accessible/PRM,"Subcategory: Baths | Supply, install, connect, seal, test and commission accessible/prm accessible bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11073,plumbing,Plumbing Fixtures,Freeze-Protected Emergency Shower - Commercial Heavy Duty,"Subcategory: Emergency Fixtures | Supply, install, connect, seal, test and commission commercial heavy duty freeze-protected emergency shower, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 45 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11074,plumbing,Plumbing Fixtures,Freeze-Protected Emergency Shower - Low-Flow/Water Efficient,"Subcategory: Emergency Fixtures | Supply, install, connect, seal, test and commission low-flow/water efficient freeze-protected emergency shower, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 45 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11075,plumbing,Plumbing Fixtures,Freeze-Protected Emergency Shower - Sensor Operated,"Subcategory: Emergency Fixtures | Supply, install, connect, seal, test and commission sensor operated freeze-protected emergency shower, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 45 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11076,plumbing,Plumbing Fixtures,Freeze-Protected Emergency Shower - Standard Grade,"Subcategory: Emergency Fixtures | Supply, install, connect, seal, test and commission standard grade freeze-protected emergency shower, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 45 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11077,plumbing,Plumbing Fixtures,Wall-Mounted Eyewash - Accessible/PRM,"Subcategory: Emergency Fixtures | Supply, install, connect, seal, test and commission accessible/prm wall-mounted eyewash, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 45 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11078,plumbing,Plumbing Fixtures,Wall-Mounted Eyewash - Commercial Heavy Duty,"Subcategory: Emergency Fixtures | Supply, install, connect, seal, test and commission commercial heavy duty wall-mounted eyewash, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 45 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11079,plumbing,Plumbing Fixtures,Wall-Mounted Eyewash - Low-Flow/Water Efficient,"Subcategory: Emergency Fixtures | Supply, install, connect, seal, test and commission low-flow/water efficient wall-mounted eyewash, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 45 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11080,plumbing,Plumbing Fixtures,Wall-Mounted Eyewash - Sensor Operated,"Subcategory: Emergency Fixtures | Supply, install, connect, seal, test and commission sensor operated wall-mounted eyewash, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 45 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11081,plumbing,Plumbing Fixtures,Wall-Mounted Eyewash - Standard Grade,"Subcategory: Emergency Fixtures | Supply, install, connect, seal, test and commission standard grade wall-mounted eyewash, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 45 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11082,plumbing,Plumbing Fixtures,Bedpan Disposal Unit - Accessible/PRM,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission accessible/prm bedpan disposal unit, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11083,plumbing,Plumbing Fixtures,Bedpan Disposal Unit - Commercial Heavy Duty,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission commercial heavy duty bedpan disposal unit, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11084,plumbing,Plumbing Fixtures,Bedpan Disposal Unit - Low-Flow/Water Efficient,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission low-flow/water efficient bedpan disposal unit, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11085,plumbing,Plumbing Fixtures,Bedpan Disposal Unit - Sensor Operated,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission sensor operated bedpan disposal unit, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11086,plumbing,Plumbing Fixtures,Bedpan Disposal Unit - Standard Grade,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission standard grade bedpan disposal unit, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11087,plumbing,Plumbing Fixtures,Bedpan Washer - Accessible/PRM,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission accessible/prm bedpan washer, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11088,plumbing,Plumbing Fixtures,Bedpan Washer - Commercial Heavy Duty,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission commercial heavy duty bedpan washer, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11089,plumbing,Plumbing Fixtures,Bedpan Washer - Low-Flow/Water Efficient,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission low-flow/water efficient bedpan washer, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11090,plumbing,Plumbing Fixtures,Bedpan Washer - Sensor Operated,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission sensor operated bedpan washer, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11091,plumbing,Plumbing Fixtures,Bedpan Washer - Standard Grade,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission standard grade bedpan washer, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11092,plumbing,Plumbing Fixtures,Clinical Sink - Accessible/PRM,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission accessible/prm clinical sink, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11093,plumbing,Plumbing Fixtures,Clinical Sink - Commercial Heavy Duty,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission commercial heavy duty clinical sink, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11094,plumbing,Plumbing Fixtures,Clinical Sink - Low-Flow/Water Efficient,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission low-flow/water efficient clinical sink, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11095,plumbing,Plumbing Fixtures,Clinical Sink - Sensor Operated,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission sensor operated clinical sink, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11096,plumbing,Plumbing Fixtures,Clinical Sink - Standard Grade,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission standard grade clinical sink, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11097,plumbing,Plumbing Fixtures,Medical Wash Trough - Accessible/PRM,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission accessible/prm medical wash trough, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11098,plumbing,Plumbing Fixtures,Medical Wash Trough - Commercial Heavy Duty,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission commercial heavy duty medical wash trough, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11099,plumbing,Plumbing Fixtures,Medical Wash Trough - Low-Flow/Water Efficient,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission low-flow/water efficient medical wash trough, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11100,plumbing,Plumbing Fixtures,Medical Wash Trough - Sensor Operated,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission sensor operated medical wash trough, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11101,plumbing,Plumbing Fixtures,Medical Wash Trough - Standard Grade,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission standard grade medical wash trough, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11102,plumbing,Plumbing Fixtures,Mortuary Sink - Accessible/PRM,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission accessible/prm mortuary sink, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11103,plumbing,Plumbing Fixtures,Mortuary Sink - Commercial Heavy Duty,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission commercial heavy duty mortuary sink, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11104,plumbing,Plumbing Fixtures,Mortuary Sink - Low-Flow/Water Efficient,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission low-flow/water efficient mortuary sink, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11105,plumbing,Plumbing Fixtures,Mortuary Sink - Sensor Operated,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission sensor operated mortuary sink, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11106,plumbing,Plumbing Fixtures,Mortuary Sink - Standard Grade,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission standard grade mortuary sink, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11107,plumbing,Plumbing Fixtures,Plaster Sink - Accessible/PRM,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission accessible/prm plaster sink, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11108,plumbing,Plumbing Fixtures,Plaster Sink - Commercial Heavy Duty,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission commercial heavy duty plaster sink, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11109,plumbing,Plumbing Fixtures,Plaster Sink - Low-Flow/Water Efficient,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission low-flow/water efficient plaster sink, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11110,plumbing,Plumbing Fixtures,Plaster Sink - Sensor Operated,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission sensor operated plaster sink, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11111,plumbing,Plumbing Fixtures,Plaster Sink - Standard Grade,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission standard grade plaster sink, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11112,plumbing,Plumbing Fixtures,Scrub-Up Trough - Accessible/PRM,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission accessible/prm scrub-up trough, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11113,plumbing,Plumbing Fixtures,Scrub-Up Trough - Commercial Heavy Duty,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission commercial heavy duty scrub-up trough, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11114,plumbing,Plumbing Fixtures,Scrub-Up Trough - Low-Flow/Water Efficient,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission low-flow/water efficient scrub-up trough, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11115,plumbing,Plumbing Fixtures,Scrub-Up Trough - Sensor Operated,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission sensor operated scrub-up trough, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11116,plumbing,Plumbing Fixtures,Scrub-Up Trough - Standard Grade,"Subcategory: Healthcare Fixtures | Supply, install, connect, seal, test and commission standard grade scrub-up trough, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 43 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11117,plumbing,Plumbing Fixtures,Accessible Basin - Accessible/PRM,"Subcategory: Lavatories | Supply, install, connect, seal, test and commission accessible/prm accessible basin, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11118,plumbing,Plumbing Fixtures,Accessible Basin - Commercial Heavy Duty,"Subcategory: Lavatories | Supply, install, connect, seal, test and commission commercial heavy duty accessible basin, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11119,plumbing,Plumbing Fixtures,Accessible Basin - Low-Flow/Water Efficient,"Subcategory: Lavatories | Supply, install, connect, seal, test and commission low-flow/water efficient accessible basin, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11120,plumbing,Plumbing Fixtures,Accessible Basin - Sensor Operated,"Subcategory: Lavatories | Supply, install, connect, seal, test and commission sensor operated accessible basin, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11121,plumbing,Plumbing Fixtures,Accessible Basin - Standard Grade,"Subcategory: Lavatories | Supply, install, connect, seal, test and commission standard grade accessible basin, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
