itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-10712,plumbing,Plumbing Equipment,Air Receiver - Custom/Packaged,"Subcategory: Pressure Equipment | Supply, install, connect, test and commission custom/packaged air receiver, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10762,plumbing,Plumbing Equipment,Hot Water Circulation Pump - Single Pump,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission single pump hot water circulation pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10763,plumbing,Plumbing Equipment,Hot Water Circulation Pump - Variable-Speed Packaged Set,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission variable-speed packaged set hot water circulation pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10764,plumbing,Plumbing Equipment,Irrigation Booster Pump - Duty/Assist/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/assist/standby irrigation booster pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10765,plumbing,Plumbing Equipment,Irrigation Booster Pump - Duty/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/standby irrigation booster pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10766,plumbing,Plumbing Equipment,Irrigation Booster Pump - Single Pump,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission single pump irrigation booster pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10767,plumbing,Plumbing Equipment,Irrigation Booster Pump - Variable-Speed Packaged Set,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission variable-speed packaged set irrigation booster pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10768,plumbing,Plumbing Equipment,Laboratory Vacuum Pump - Duty/Assist/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/assist/standby laboratory vacuum pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10769,plumbing,Plumbing Equipment,Laboratory Vacuum Pump - Duty/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/standby laboratory vacuum pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10770,plumbing,Plumbing Equipment,Laboratory Vacuum Pump - Single Pump,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission single pump laboratory vacuum pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10771,plumbing,Plumbing Equipment,Laboratory Vacuum Pump - Variable-Speed Packaged Set,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission variable-speed packaged set laboratory vacuum pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10772,plumbing,Plumbing Equipment,Macerator Pump - Duty/Assist/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/assist/standby macerator pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10773,plumbing,Plumbing Equipment,Macerator Pump - Duty/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/standby macerator pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10774,plumbing,Plumbing Equipment,Macerator Pump - Single Pump,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission single pump macerator pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10775,plumbing,Plumbing Equipment,Macerator Pump - Variable-Speed Packaged Set,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission variable-speed packaged set macerator pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10776,plumbing,Plumbing Equipment,Medical Air Compressor - Duty/Assist/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/assist/standby medical air compressor, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10777,plumbing,Plumbing Equipment,Medical Air Compressor - Duty/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/standby medical air compressor, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10778,plumbing,Plumbing Equipment,Medical Air Compressor - Single Pump,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission single pump medical air compressor, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10779,plumbing,Plumbing Equipment,Medical Air Compressor - Variable-Speed Packaged Set,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission variable-speed packaged set medical air compressor, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10780,plumbing,Plumbing Equipment,Medical Vacuum Pump - Duty/Assist/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/assist/standby medical vacuum pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10781,plumbing,Plumbing Equipment,Medical Vacuum Pump - Duty/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/standby medical vacuum pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10782,plumbing,Plumbing Equipment,Medical Vacuum Pump - Single Pump,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission single pump medical vacuum pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10783,plumbing,Plumbing Equipment,Medical Vacuum Pump - Variable-Speed Packaged Set,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission variable-speed packaged set medical vacuum pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10784,plumbing,Plumbing Equipment,Pool Circulation Pump - Duty/Assist/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/assist/standby pool circulation pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10785,plumbing,Plumbing Equipment,Pool Circulation Pump - Duty/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/standby pool circulation pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10786,plumbing,Plumbing Equipment,Pool Circulation Pump - Single Pump,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission single pump pool circulation pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10787,plumbing,Plumbing Equipment,Pool Circulation Pump - Variable-Speed Packaged Set,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission variable-speed packaged set pool circulation pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10788,plumbing,Plumbing Equipment,RO High-Pressure Pump - Duty/Assist/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/assist/standby ro high-pressure pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10789,plumbing,Plumbing Equipment,RO High-Pressure Pump - Duty/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/standby ro high-pressure pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10790,plumbing,Plumbing Equipment,RO High-Pressure Pump - Single Pump,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission single pump ro high-pressure pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10791,plumbing,Plumbing Equipment,RO High-Pressure Pump - Variable-Speed Packaged Set,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission variable-speed packaged set ro high-pressure pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10792,plumbing,Plumbing Equipment,Rainwater Harvesting Pump - Duty/Assist/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/assist/standby rainwater harvesting pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10793,plumbing,Plumbing Equipment,Rainwater Harvesting Pump - Duty/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/standby rainwater harvesting pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10794,plumbing,Plumbing Equipment,Rainwater Harvesting Pump - Single Pump,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission single pump rainwater harvesting pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10795,plumbing,Plumbing Equipment,Rainwater Harvesting Pump - Variable-Speed Packaged Set,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission variable-speed packaged set rainwater harvesting pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10796,plumbing,Plumbing Equipment,Submersible Drainage Pump - Duty/Assist/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/assist/standby submersible drainage pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10797,plumbing,Plumbing Equipment,Submersible Drainage Pump - Duty/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/standby submersible drainage pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10798,plumbing,Plumbing Equipment,Submersible Drainage Pump - Single Pump,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission single pump submersible drainage pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10799,plumbing,Plumbing Equipment,Submersible Drainage Pump - Variable-Speed Packaged Set,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission variable-speed packaged set submersible drainage pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10800,plumbing,Plumbing Equipment,Submersible Sewage Pump - Duty/Assist/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/assist/standby submersible sewage pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10801,plumbing,Plumbing Equipment,Submersible Sewage Pump - Duty/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/standby submersible sewage pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10802,plumbing,Plumbing Equipment,Submersible Sewage Pump - Single Pump,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission single pump submersible sewage pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10803,plumbing,Plumbing Equipment,Submersible Sewage Pump - Variable-Speed Packaged Set,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission variable-speed packaged set submersible sewage pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10804,plumbing,Plumbing Equipment,Sump Pump - Duty/Assist/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/assist/standby sump pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10805,plumbing,Plumbing Equipment,Sump Pump - Duty/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/standby sump pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10806,plumbing,Plumbing Equipment,Sump Pump - Single Pump,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission single pump sump pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10807,plumbing,Plumbing Equipment,Sump Pump - Variable-Speed Packaged Set,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission variable-speed packaged set sump pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10808,plumbing,Plumbing Equipment,Transfer Pump Set - Duty/Assist/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/assist/standby transfer pump set, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10809,plumbing,Plumbing Equipment,Transfer Pump Set - Duty/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/standby transfer pump set, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10810,plumbing,Plumbing Equipment,Transfer Pump Set - Single Pump,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission single pump transfer pump set, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
