itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-00062,plumbing,Drainage Specialties,Air Admittance Valve - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty air admittance valve, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00114,plumbing,Drainage Specialties,Inspection Chamber - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty inspection chamber, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00115,plumbing,Drainage Specialties,Inspection Chamber - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty inspection chamber, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00116,plumbing,Drainage Specialties,Inspection Chamber - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty inspection chamber, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00117,plumbing,Drainage Specialties,Inspection Chamber - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty inspection chamber, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00118,plumbing,Drainage Specialties,Manhole Cover and Frame - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty manhole cover and frame, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00119,plumbing,Drainage Specialties,Manhole Cover and Frame - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty manhole cover and frame, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00120,plumbing,Drainage Specialties,Manhole Cover and Frame - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty manhole cover and frame, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00121,plumbing,Drainage Specialties,Manhole Cover and Frame - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty manhole cover and frame, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00122,plumbing,Drainage Specialties,Neutralization Tank - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty neutralization tank, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00123,plumbing,Drainage Specialties,Neutralization Tank - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty neutralization tank, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00124,plumbing,Drainage Specialties,Neutralization Tank - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty neutralization tank, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00125,plumbing,Drainage Specialties,Neutralization Tank - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty neutralization tank, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00126,plumbing,Drainage Specialties,Oil Interceptor - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty oil interceptor, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00127,plumbing,Drainage Specialties,Oil Interceptor - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty oil interceptor, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00128,plumbing,Drainage Specialties,Oil Interceptor - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty oil interceptor, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00129,plumbing,Drainage Specialties,Oil Interceptor - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty oil interceptor, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00130,plumbing,Drainage Specialties,Overflow Scupper - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty overflow scupper, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00131,plumbing,Drainage Specialties,Overflow Scupper - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty overflow scupper, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00132,plumbing,Drainage Specialties,Overflow Scupper - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty overflow scupper, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00133,plumbing,Drainage Specialties,Overflow Scupper - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty overflow scupper, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00134,plumbing,Drainage Specialties,Plaster Interceptor - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty plaster interceptor, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00135,plumbing,Drainage Specialties,Plaster Interceptor - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty plaster interceptor, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00136,plumbing,Drainage Specialties,Plaster Interceptor - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty plaster interceptor, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00137,plumbing,Drainage Specialties,Plaster Interceptor - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty plaster interceptor, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00138,plumbing,Drainage Specialties,Rainwater Hopper - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty rainwater hopper, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00139,plumbing,Drainage Specialties,Rainwater Hopper - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty rainwater hopper, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00140,plumbing,Drainage Specialties,Rainwater Hopper - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty rainwater hopper, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00141,plumbing,Drainage Specialties,Rainwater Hopper - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty rainwater hopper, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00142,plumbing,Drainage Specialties,Roof Drain - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty roof drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00143,plumbing,Drainage Specialties,Roof Drain - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty roof drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00144,plumbing,Drainage Specialties,Roof Drain - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty roof drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00145,plumbing,Drainage Specialties,Roof Drain - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty roof drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00146,plumbing,Drainage Specialties,Sand Interceptor - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty sand interceptor, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00147,plumbing,Drainage Specialties,Sand Interceptor - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty sand interceptor, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00148,plumbing,Drainage Specialties,Sand Interceptor - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty sand interceptor, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00149,plumbing,Drainage Specialties,Sand Interceptor - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty sand interceptor, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00150,plumbing,Drainage Specialties,Silt Trap - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty silt trap, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00151,plumbing,Drainage Specialties,Silt Trap - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty silt trap, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00152,plumbing,Drainage Specialties,Silt Trap - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty silt trap, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00153,plumbing,Drainage Specialties,Silt Trap - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty silt trap, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00154,plumbing,Drainage Specialties,Siphonic Roof Outlet - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty siphonic roof outlet, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00155,plumbing,Drainage Specialties,Siphonic Roof Outlet - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty siphonic roof outlet, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00156,plumbing,Drainage Specialties,Siphonic Roof Outlet - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty siphonic roof outlet, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00157,plumbing,Drainage Specialties,Siphonic Roof Outlet - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty siphonic roof outlet, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00158,plumbing,Drainage Specialties,Terrace Drain - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty terrace drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00159,plumbing,Drainage Specialties,Terrace Drain - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty terrace drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00160,plumbing,Drainage Specialties,Terrace Drain - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty terrace drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00161,plumbing,Drainage Specialties,Terrace Drain - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty terrace drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00162,plumbing,Drainage Specialties,Trap Primer - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty trap primer, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00163,plumbing,Drainage Specialties,Trap Primer - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty trap primer, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00164,plumbing,Drainage Specialties,Trap Primer - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty trap primer, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00165,plumbing,Drainage Specialties,Trap Primer - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty trap primer, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
