itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-09514,plumbing,Piping Systems,Sewage Rising Main - HDPE PE100 - Mechanical Joint - 125-200 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission HDPE PE100 mechanical joint for sewage rising main, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09667,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Concentric Reducer - 65-100 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure concentric reducer for sewage rising main, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09668,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Coupling - 125-200 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure coupling for sewage rising main, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09669,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Coupling - 15-25 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure coupling for sewage rising main, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09670,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Coupling - 250-400 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure coupling for sewage rising main, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09671,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Coupling - 32-50 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure coupling for sewage rising main, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09672,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Coupling - 65-100 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure coupling for sewage rising main, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09673,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Dismantling Joint - 125-200 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure dismantling joint for sewage rising main, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09674,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Dismantling Joint - 15-25 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure dismantling joint for sewage rising main, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09675,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Dismantling Joint - 250-400 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure dismantling joint for sewage rising main, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09676,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Dismantling Joint - 32-50 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure dismantling joint for sewage rising main, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09677,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Dismantling Joint - 65-100 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure dismantling joint for sewage rising main, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09678,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Eccentric Reducer - 125-200 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure eccentric reducer for sewage rising main, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09679,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Eccentric Reducer - 15-25 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure eccentric reducer for sewage rising main, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09680,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Eccentric Reducer - 250-400 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure eccentric reducer for sewage rising main, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09681,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Eccentric Reducer - 32-50 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure eccentric reducer for sewage rising main, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09682,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Eccentric Reducer - 65-100 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure eccentric reducer for sewage rising main, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09683,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - End Cap - 125-200 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure end cap for sewage rising main, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09684,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - End Cap - 15-25 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure end cap for sewage rising main, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09685,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - End Cap - 250-400 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure end cap for sewage rising main, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09686,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - End Cap - 32-50 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure end cap for sewage rising main, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09687,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - End Cap - 65-100 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure end cap for sewage rising main, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09688,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Equal Tee - 125-200 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure equal tee for sewage rising main, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09689,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Equal Tee - 15-25 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure equal tee for sewage rising main, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09690,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Equal Tee - 250-400 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure equal tee for sewage rising main, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09691,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Equal Tee - 32-50 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure equal tee for sewage rising main, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09692,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Equal Tee - 65-100 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure equal tee for sewage rising main, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09693,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Expansion Joint - 125-200 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure expansion joint for sewage rising main, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09694,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Expansion Joint - 15-25 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure expansion joint for sewage rising main, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09695,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Expansion Joint - 250-400 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure expansion joint for sewage rising main, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09696,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Expansion Joint - 32-50 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure expansion joint for sewage rising main, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09697,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Expansion Joint - 65-100 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure expansion joint for sewage rising main, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09698,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Flange Adaptor - 125-200 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure flange adaptor for sewage rising main, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09699,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Flange Adaptor - 15-25 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure flange adaptor for sewage rising main, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09700,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Flange Adaptor - 250-400 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure flange adaptor for sewage rising main, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09701,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Flange Adaptor - 32-50 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure flange adaptor for sewage rising main, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09702,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Flange Adaptor - 65-100 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure flange adaptor for sewage rising main, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09703,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Flexible Connector - 125-200 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure flexible connector for sewage rising main, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09704,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Flexible Connector - 15-25 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure flexible connector for sewage rising main, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09705,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Flexible Connector - 250-400 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure flexible connector for sewage rising main, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09706,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Flexible Connector - 32-50 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure flexible connector for sewage rising main, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09707,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Flexible Connector - 65-100 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure flexible connector for sewage rising main, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09708,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Mechanical Joint - 125-200 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure mechanical joint for sewage rising main, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09709,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Mechanical Joint - 15-25 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure mechanical joint for sewage rising main, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09710,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Mechanical Joint - 250-400 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure mechanical joint for sewage rising main, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09711,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Mechanical Joint - 32-50 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure mechanical joint for sewage rising main, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09712,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Mechanical Joint - 65-100 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure mechanical joint for sewage rising main, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09713,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Pipe Sleeve - 125-200 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure pipe sleeve for sewage rising main, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09714,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Pipe Sleeve - 15-25 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure pipe sleeve for sewage rising main, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09715,plumbing,Piping Systems,Sewage Rising Main - uPVC Pressure - Pipe Sleeve - 250-400 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission uPVC Pressure pipe sleeve for sewage rising main, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
