itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-00186,plumbing,Fixture Fittings and Accessories,Angle Valve - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install angle valve with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00242,plumbing,Fixture Fittings and Accessories,Garden Tap - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install garden tap with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00243,plumbing,Fixture Fittings and Accessories,Garden Tap - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install garden tap with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00244,plumbing,Fixture Fittings and Accessories,Garden Tap - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install garden tap with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00245,plumbing,Fixture Fittings and Accessories,Garden Tap - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install garden tap with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00246,plumbing,Fixture Fittings and Accessories,Grab Bar - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install grab bar with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00247,plumbing,Fixture Fittings and Accessories,Grab Bar - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install grab bar with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00248,plumbing,Fixture Fittings and Accessories,Grab Bar - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install grab bar with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00249,plumbing,Fixture Fittings and Accessories,Grab Bar - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install grab bar with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00250,plumbing,Fixture Fittings and Accessories,Grid Waste - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install grid waste with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00251,plumbing,Fixture Fittings and Accessories,Grid Waste - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install grid waste with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00252,plumbing,Fixture Fittings and Accessories,Grid Waste - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install grid waste with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00253,plumbing,Fixture Fittings and Accessories,Grid Waste - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install grid waste with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00254,plumbing,Fixture Fittings and Accessories,Hand Dryer - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install hand dryer with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00255,plumbing,Fixture Fittings and Accessories,Hand Dryer - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install hand dryer with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00256,plumbing,Fixture Fittings and Accessories,Hand Dryer - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install hand dryer with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00257,plumbing,Fixture Fittings and Accessories,Hand Dryer - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install hand dryer with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00258,plumbing,Fixture Fittings and Accessories,Hose Bibb - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install hose bibb with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00259,plumbing,Fixture Fittings and Accessories,Hose Bibb - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install hose bibb with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00260,plumbing,Fixture Fittings and Accessories,Hose Bibb - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install hose bibb with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00261,plumbing,Fixture Fittings and Accessories,Hose Bibb - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install hose bibb with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00262,plumbing,Fixture Fittings and Accessories,Kitchen Sink Mixer - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install kitchen sink mixer with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00263,plumbing,Fixture Fittings and Accessories,Kitchen Sink Mixer - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install kitchen sink mixer with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00264,plumbing,Fixture Fittings and Accessories,Kitchen Sink Mixer - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install kitchen sink mixer with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00265,plumbing,Fixture Fittings and Accessories,Kitchen Sink Mixer - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install kitchen sink mixer with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00266,plumbing,Fixture Fittings and Accessories,Knee-Operated Faucet - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install knee-operated faucet with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00267,plumbing,Fixture Fittings and Accessories,Knee-Operated Faucet - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install knee-operated faucet with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00268,plumbing,Fixture Fittings and Accessories,Knee-Operated Faucet - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install knee-operated faucet with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00269,plumbing,Fixture Fittings and Accessories,Knee-Operated Faucet - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install knee-operated faucet with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00270,plumbing,Fixture Fittings and Accessories,Laboratory Tap - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install laboratory tap with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00271,plumbing,Fixture Fittings and Accessories,Laboratory Tap - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install laboratory tap with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00272,plumbing,Fixture Fittings and Accessories,Laboratory Tap - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install laboratory tap with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00273,plumbing,Fixture Fittings and Accessories,Laboratory Tap - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install laboratory tap with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00274,plumbing,Fixture Fittings and Accessories,P Trap - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install p trap with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00275,plumbing,Fixture Fittings and Accessories,P Trap - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install p trap with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00276,plumbing,Fixture Fittings and Accessories,P Trap - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install p trap with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00277,plumbing,Fixture Fittings and Accessories,P Trap - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install p trap with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00278,plumbing,Fixture Fittings and Accessories,Pop-Up Waste - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install pop-up waste with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00279,plumbing,Fixture Fittings and Accessories,Pop-Up Waste - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install pop-up waste with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00280,plumbing,Fixture Fittings and Accessories,Pop-Up Waste - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install pop-up waste with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00281,plumbing,Fixture Fittings and Accessories,Pop-Up Waste - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install pop-up waste with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00282,plumbing,Fixture Fittings and Accessories,Pull-Out Kitchen Mixer - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install pull-out kitchen mixer with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00283,plumbing,Fixture Fittings and Accessories,Pull-Out Kitchen Mixer - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install pull-out kitchen mixer with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00284,plumbing,Fixture Fittings and Accessories,Pull-Out Kitchen Mixer - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install pull-out kitchen mixer with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00285,plumbing,Fixture Fittings and Accessories,Pull-Out Kitchen Mixer - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install pull-out kitchen mixer with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00286,plumbing,Fixture Fittings and Accessories,S Trap - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install s trap with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00287,plumbing,Fixture Fittings and Accessories,S Trap - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install s trap with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00288,plumbing,Fixture Fittings and Accessories,S Trap - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install s trap with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00289,plumbing,Fixture Fittings and Accessories,S Trap - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install s trap with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00290,plumbing,Fixture Fittings and Accessories,Sensor Faucet - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install sensor faucet with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00291,plumbing,Fixture Fittings and Accessories,Sensor Faucet - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install sensor faucet with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00292,plumbing,Fixture Fittings and Accessories,Sensor Faucet - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install sensor faucet with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00293,plumbing,Fixture Fittings and Accessories,Sensor Faucet - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install sensor faucet with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00294,plumbing,Fixture Fittings and Accessories,Shower Mixer - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install shower mixer with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00295,plumbing,Fixture Fittings and Accessories,Shower Mixer - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install shower mixer with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00296,plumbing,Fixture Fittings and Accessories,Shower Mixer - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install shower mixer with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00297,plumbing,Fixture Fittings and Accessories,Shower Mixer - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install shower mixer with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
