itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
HVAC-AD-0001,hvac,Air Distribution – Diffusers,Supply Air Diffuser,"Provide and install supply air diffuser complete with frame, removable core and required fixing accessories. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Type: ___ | Neck Size: ___ | Airflow: ___ | Throw: ___ | Finish: ___",,no.,,,,,,,
HVAC-AD-0083,hvac,Air Distribution – Louvers,Door Louver,Provide and install door-mounted louver complete with matching rear frame. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Cutout Size: ___ | Free Area: ___ | Door Thickness: ___ | Blade Type: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0084,hvac,Air Distribution – Louvers,Fire-Rated Door Louver,Provide and install listed fire-rated door louver suitable for the door assembly. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Cutout Size: ___ | Fire Rating: ___ | Door Rating: ___ | Free Area: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0085,hvac,Air Distribution – Louvers,Louver Bird Screen,Provide and install removable bird screen to louver assembly. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Mesh Size: ___ | Wire Diameter: ___ | Material: ___ | Frame: ___ | Finish: ___,,m²,,,,,,,
HVAC-AD-0086,hvac,Air Distribution – Louvers,Louver Insect Screen,Provide and install removable insect screen to louver assembly. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Mesh Size: ___ | Material: ___ | Airflow Reduction: ___ | Frame: ___ | Finish: ___,,m²,,,,,,,
HVAC-AD-0087,hvac,Air Distribution – Dampers,Volume Control Damper – Rectangular,Provide and install manual rectangular volume-control damper complete with locking quadrant and position indicator. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Duct Size: ___ | Blade Type: ___ | Leakage Class: ___ | Pressure Rating: ___ | Material: ___,,no.,,,,,,,
HVAC-AD-0088,hvac,Air Distribution – Dampers,Volume Control Damper – Circular,Provide and install manual circular volume-control damper complete with locking quadrant. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Diameter: ___ | Blade Type: ___ | Leakage Class: ___ | Pressure Rating: ___ | Material: ___,,no.,,,,,,,
HVAC-AD-0089,hvac,Air Distribution – Dampers,Opposed-Blade Damper,Provide and install opposed-blade balancing or control damper. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Blade Type: Opposed | Leakage Class: ___ | Pressure Rating: ___ | Material: ___,,no.,,,,,,,
HVAC-AD-0090,hvac,Air Distribution – Dampers,Parallel-Blade Damper,Provide and install parallel-blade balancing or control damper. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Blade Type: Parallel | Leakage Class: ___ | Pressure Rating: ___ | Material: ___,,no.,,,,,,,
HVAC-AD-0091,hvac,Air Distribution – Dampers,Iris Balancing Damper,Provide and install iris-type airflow-regulating damper with measurement ports. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Diameter: ___ | Airflow Range: ___ | Pressure Range: ___ | Measurement Ports: ___ | Material: ___,,no.,,,,,,,
HVAC-AD-0092,hvac,Air Distribution – Dampers,Splitter Damper,Provide and install splitter damper at duct branch or tee complete with locking device. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Blade Size: ___ | Branch Size: ___ | Operation: ___ | Material: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0093,hvac,Air Distribution – Dampers,Motorized Damper – On/Off,Provide and install motorized damper complete with on/off actuator and end switches where required. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Torque: ___ | Voltage: ___ | Fail Position: ___ | Leakage Class: ___,,no.,,,,,,,
HVAC-AD-0094,hvac,Air Distribution – Dampers,Motorized Damper – Modulating,Provide and install motorized modulating damper complete with proportional actuator. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Torque: ___ | Control Signal: ___ | Fail Position: ___ | Leakage Class: ___,,no.,,,,,,,
HVAC-AD-0095,hvac,Air Distribution – Dampers,Low-Leakage Control Damper,Provide and install low-leakage control damper complete with seals and actuator interface. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Leakage Class: ___ | Pressure Rating: ___ | Blade Seals: ___ | Material: ___,,no.,,,,,,,
HVAC-AD-0096,hvac,Air Distribution – Dampers,Isolation Damper,Provide and install isolation damper for equipment or duct-system shutdown. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Leakage Class: ___ | Operation: ___ | Pressure Rating: ___ | Material: ___,,no.,,,,,,,
HVAC-AD-0097,hvac,Air Distribution – Dampers,Bubble-Tight Shutoff Damper,Provide and install bubble-tight shutoff damper for critical containment applications. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Shutoff Class: ___ | Pressure Rating: ___ | Actuator: ___ | Material: ___,,no.,,,,,,,
HVAC-AD-0098,hvac,Air Distribution – Dampers,Backdraft Damper,Provide and install gravity backdraft damper to prevent reverse airflow. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Airflow: ___ | Start-Open Pressure: ___ | Blade Type: ___ | Material: ___,,no.,,,,,,,
HVAC-AD-0099,hvac,Air Distribution – Dampers,Non-Return Damper,"Provide and install non-return damper for supply, exhaust or smoke-control ductwork. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Airflow: ___ | Pressure Rating: ___ | Blade Type: ___ | Material: ___",,no.,,,,,,,
HVAC-AD-0100,hvac,Air Distribution – Dampers,Gravity Relief Damper,Provide and install gravity relief damper set to relieve excess building or duct pressure. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Relief Pressure: ___ | Airflow: ___ | Blade Type: ___ | Material: ___,,no.,,,,,,,
HVAC-AD-0101,hvac,Air Distribution – Dampers,Pressure Relief Damper,Provide and install calibrated pressure-relief damper complete with adjustable setting. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Set Pressure: ___ | Airflow: ___ | Adjustment Range: ___ | Material: ___,,no.,,,,,,,
HVAC-AD-0102,hvac,Air Distribution – Dampers,Barometric Relief Damper,Provide and install barometric relief damper for pressure control. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Set Pressure: ___ | Airflow: ___ | Counterweight: ___ | Material: ___,,no.,,,,,,,
HVAC-AD-0103,hvac,Air Distribution – Dampers,Fire Damper – Curtain Type,"Provide and install listed curtain-type fire damper complete with sleeve, retaining angles and access provisions. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Fire Rating: ___ | Installation Type: ___ | Fusible Link: ___ | Listing: ___",,no.,,,,,,,
HVAC-AD-0104,hvac,Air Distribution – Dampers,Fire Damper – Multi-Blade Type,Provide and install listed multi-blade fire damper complete with sleeve and access provisions. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Fire Rating: ___ | Installation Type: ___ | Closure Device: ___ | Listing: ___,,no.,,,,,,,
HVAC-AD-0105,hvac,Air Distribution – Dampers,Dynamic Fire Damper,Provide and install listed dynamic fire damper suitable for airflow conditions. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Fire Rating: ___ | Velocity Rating: ___ | Pressure Rating: ___ | Listing: ___,,no.,,,,,,,
HVAC-AD-0106,hvac,Air Distribution – Dampers,Static Fire Damper,Provide and install listed static fire damper for systems that shut down during a fire event. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Fire Rating: ___ | Installation Type: ___ | Closure Device: ___ | Listing: ___,,no.,,,,,,,
HVAC-AD-0107,hvac,Air Distribution – Dampers,Smoke Damper,Provide and install listed smoke damper complete with actuator and position indication. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Leakage Class: ___ | Temperature Rating: ___ | Actuator: ___ | Listing: ___,,no.,,,,,,,
HVAC-AD-0108,hvac,Air Distribution – Dampers,Combination Fire and Smoke Damper,"Provide and install listed combination fire/smoke damper complete with actuator, sleeve and access provisions. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Fire Rating: ___ | Leakage Class: ___ | Actuator: ___ | Listing: ___",,no.,,,,,,,
HVAC-AD-0109,hvac,Air Distribution – Dampers,Ceiling Radiation Damper,Provide and install listed ceiling radiation damper for rated ceiling assemblies. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Ceiling Assembly: ___ | Fire Rating: ___ | Installation Type: ___ | Listing: ___,,no.,,,,,,,
HVAC-AD-0110,hvac,Air Distribution – Dampers,Intumescent Fire Damper,Provide and install listed intumescent fire damper for the specified opening and service. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Fire Rating: ___ | Activation Temperature: ___ | Application: ___ | Listing: ___,,no.,,,,,,,
HVAC-AD-0111,hvac,Air Distribution – Dampers,Smoke-Control Damper,Provide and install smoke-control damper suitable for engineered smoke-management duty. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Leakage Class: ___ | Temperature Rating: ___ | Actuator: ___ | Control Mode: ___,,no.,,,,,,,
HVAC-AD-0112,hvac,Air Distribution – Dampers,Shaft Pressurization Damper,Provide and install motorized damper for stair or lift shaft pressurization system. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Airflow: ___ | Pressure Rating: ___ | Actuator: ___ | Fail Position: ___,,no.,,,,,,,
HVAC-AD-0113,hvac,Air Distribution – Dampers,Smoke Extract Damper,Provide and install smoke-extract damper suitable for elevated-temperature operation. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Temperature/Duration: ___ | Leakage Class: ___ | Actuator: ___ | Listing: ___,,no.,,,,,,,
HVAC-AD-0114,hvac,Air Distribution – Dampers,Kitchen Exhaust Damper,Provide and install damper specifically suitable for grease-laden kitchen exhaust service. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Temperature Rating: ___ | Grease Service: ___ | Operation: ___ | Material: ___,,no.,,,,,,,
HVAC-AD-0115,hvac,Air Distribution – Dampers,Gas-Tight Damper,Provide and install gas-tight damper for hazardous or containment exhaust service. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Leakage Requirement: ___ | Pressure Rating: ___ | Actuator: ___ | Material: ___,,no.,,,,,,,
HVAC-AD-0116,hvac,Air Distribution – Dampers,Blast Damper,Provide and install blast-protection damper complete with frame and anchorage. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Blast Rating: ___ | Airflow: ___ | Reset Type: ___ | Material: ___,,no.,,,,,,,
HVAC-AD-0117,hvac,Air Distribution – Dampers,Pressure-Independent Airflow Damper,Provide and install pressure-independent airflow-control damper or regulator. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Airflow Range: ___ | Pressure Range: ___ | Control: ___ | Accuracy: ___,,no.,,,,,,,
HVAC-AD-0118,hvac,Air Distribution – Dampers,Constant Airflow Regulator,Provide and install self-regulating constant-airflow device for duct or terminal installation. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Airflow Setpoint: ___ | Pressure Range: ___ | Accuracy: ___ | Material: ___,,no.,,,,,,,
HVAC-AD-0119,hvac,Air Distribution – Dampers,Zone Damper,Provide and install motorized zone-control damper complete with actuator. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Airflow: ___ | Actuator: ___ | Control Signal: ___ | Fail Position: ___,,no.,,,,,,,
HVAC-AD-0120,hvac,Air Distribution – Dampers,Diffuser Neck Damper,Provide and install opposed-blade or butterfly damper at diffuser neck. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Neck Size: ___ | Damper Type: ___ | Operation: ___ | Material: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0121,hvac,Air Distribution – Dampers,Grille Volume-Control Damper,Provide and install integral volume-control damper behind grille or register. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Damper Type: ___ | Operation: ___ | Material: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0122,hvac,Air Distribution – Air Terminal Units,Single-Duct VAV Terminal Unit,"Provide and install single-duct variable-air-volume terminal unit complete with airflow sensor, damper and controls interface. | MasterFormat: 23 36 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Inlet Size: ___ | Airflow Range: ___ | Pressure Range: ___ | Controller: ___ | Acoustic Rating: ___",,no.,,,,,,,
HVAC-AD-0123,hvac,Air Distribution – Air Terminal Units,Single-Duct CAV Terminal Unit,Provide and install single-duct constant-air-volume terminal unit complete with airflow-regulating assembly. | MasterFormat: 23 36 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Inlet Size: ___ | Airflow: ___ | Pressure Range: ___ | Controller: ___ | Acoustic Rating: ___,,no.,,,,,,,
HVAC-AD-0124,hvac,Air Distribution – Air Terminal Units,VAV Terminal Unit with Electric Reheat,Provide and install VAV terminal unit with factory-mounted electric reheat coil and controls. | MasterFormat: 23 36 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Airflow Range: ___ | Heater Capacity: ___ | Voltage: ___ | Stages: ___ | Controller: ___,,no.,,,,,,,
HVAC-AD-0125,hvac,Air Distribution – Air Terminal Units,VAV Terminal Unit with Hot-Water Reheat,Provide and install VAV terminal unit with hot-water reheat coil and controls. | MasterFormat: 23 36 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Airflow Range: ___ | Coil Capacity: ___ | Water Flow: ___ | Valve: ___ | Controller: ___,,no.,,,,,,,
HVAC-AD-0126,hvac,Air Distribution – Air Terminal Units,Fan-Powered VAV Terminal – Parallel,"Provide and install parallel fan-powered VAV terminal complete with fan, damper and controls. | MasterFormat: 23 36 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Primary Airflow: ___ | Fan Airflow: ___ | ESP: ___ | Motor: ___ | Controller: ___",,no.,,,,,,,
HVAC-AD-0127,hvac,Air Distribution – Air Terminal Units,Fan-Powered VAV Terminal – Series,"Provide and install series fan-powered VAV terminal complete with fan, damper and controls. | MasterFormat: 23 36 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Primary Airflow: ___ | Fan Airflow: ___ | ESP: ___ | Motor: ___ | Controller: ___",,no.,,,,,,,
HVAC-AD-0128,hvac,Air Distribution – Air Terminal Units,Dual-Duct VAV Terminal Unit,Provide and install dual-duct VAV terminal unit with hot and cold inlet dampers and airflow controls. | MasterFormat: 23 36 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Inlet Sizes: ___ | Airflow Range: ___ | Mixing Type: ___ | Controller: ___ | Acoustic Rating: ___,,no.,,,,,,,
HVAC-AD-0129,hvac,Air Distribution – Air Terminal Units,Induction Terminal Unit,Provide and install induction terminal unit complete with primary-air nozzles and secondary-air path. | MasterFormat: 23 36 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Primary Airflow: ___ | Induction Ratio: ___ | Capacity: ___ | Coil: ___ | Acoustic Rating: ___,,no.,,,,,,,
HVAC-AD-0130,hvac,Air Distribution – Air Terminal Units,Bypass VAV Terminal Unit,Provide and install bypass-type VAV terminal unit complete with bypass damper and controls. | MasterFormat: 23 36 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Inlet Size: ___ | Airflow Range: ___ | Bypass Arrangement: ___ | Controller: ___ | Acoustic Rating: ___,,no.,,,,,,,
HVAC-AD-0131,hvac,Air Distribution – Air Terminal Units,Pressure-Independent VAV Diffuser,Provide and install pressure-independent VAV diffuser with integrated airflow control. | MasterFormat: 23 36 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow Range: ___ | Control: ___ | Pressure Range: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0132,hvac,Air Distribution – Air Terminal Units,Thermal VAV Diffuser,Provide and install thermally controlled VAV diffuser for individual-zone control. | MasterFormat: 23 36 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow Range: ___ | Thermostat: ___ | Control Range: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0133,hvac,Air Distribution – Air Terminal Units,Laboratory Supply Air Valve,Provide and install fast-response supply airflow valve for laboratory pressure-control systems. | MasterFormat: 23 36 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Airflow Range: ___ | Response Time: ___ | Accuracy: ___ | Control Signal: ___,,no.,,,,,,,
HVAC-AD-0134,hvac,Air Distribution – Air Terminal Units,Laboratory Exhaust Air Valve,Provide and install fast-response exhaust airflow valve for laboratory pressure-control systems. | MasterFormat: 23 36 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Airflow Range: ___ | Response Time: ___ | Accuracy: ___ | Material: ___,,no.,,,,,,,
HVAC-AD-0135,hvac,Air Distribution – Air Terminal Units,Room Pressure-Control Air Valve,Provide and install pressure-control air valve for critical-room supply or exhaust service. | MasterFormat: 23 36 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Airflow Range: ___ | Pressure Control Range: ___ | Response Time: ___ | Controller: ___,,no.,,,,,,,
HVAC-AD-0136,hvac,Air Distribution – Acoustic Devices,Sound Attenuator – Rectangular,Provide and install rectangular duct sound attenuator with aerodynamic splitters and sealed casing. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Duct Size: ___ | Length: ___ | Airflow: ___ | Insertion Loss: ___ | Pressure Drop: ___,,no.,,,,,,,
HVAC-AD-0137,hvac,Air Distribution – Acoustic Devices,Sound Attenuator – Circular,Provide and install circular duct sound attenuator with acoustic infill and perforated liner. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Diameter: ___ | Length: ___ | Airflow: ___ | Insertion Loss: ___ | Pressure Drop: ___,,no.,,,,,,,
HVAC-AD-0138,hvac,Air Distribution – Acoustic Devices,Sound Attenuator – Elbow Type,Provide and install elbow sound attenuator where straight length is restricted. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Duct Size: ___ | Bend Angle: ___ | Airflow: ___ | Insertion Loss: ___ | Pressure Drop: ___,,no.,,,,,,,
HVAC-AD-0139,hvac,Air Distribution – Acoustic Devices,Sound Attenuator – Cross-Talk,Provide and install cross-talk attenuator for transfer-air openings between rooms. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Opening Size: ___ | Path Type: ___ | Airflow: ___ | Insertion Loss: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0140,hvac,Air Distribution – Acoustic Devices,Sound Attenuator – Packless,Provide and install packless or film-lined sound attenuator for hygienic applications. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Duct Size: ___ | Length: ___ | Airflow: ___ | Insertion Loss: ___ | Hygiene Requirement: ___,,no.,,,,,,,
HVAC-AD-0141,hvac,Air Distribution – Acoustic Devices,Sound Attenuator – Cleanroom Grade,Provide and install cleanroom-grade sound attenuator with smooth cleanable internal surfaces. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Duct Size: ___ | Length: ___ | Airflow: ___ | Insertion Loss: ___ | Cleanliness Class: ___,,no.,,,,,,,
HVAC-AD-0142,hvac,Air Distribution – Acoustic Devices,Acoustic Transfer Air Unit,Provide and install acoustic transfer-air unit complete with lined internal baffles and grilles. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Opening Size: ___ | Airflow: ___ | Insertion Loss: ___ | Wall Thickness: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0143,hvac,Air Distribution – Acoustic Devices,Duct Acoustic Lining,Provide and install internal acoustic duct lining with sealed edges and mechanical fasteners. | MasterFormat: 23 07 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Thickness: ___ | Density: ___ | Surface Treatment: ___ | Fire Performance: ___ | Standard: ___,,m²,,,,,,,
HVAC-AD-0144,hvac,Air Distribution – Acoustic Devices,Acoustic Plenum Box,Provide and install internally acoustically treated plenum box for diffuser or grille connection. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Box Size: ___ | Neck Size: ___ | Lining Thickness: ___ | Airflow: ___ | Pressure Class: ___,,no.,,,,,,,
HVAC-AD-0145,hvac,Air Distribution – Plenums and Accessories,Diffuser Plenum Box,Provide and install sheet-metal plenum box for diffuser connection complete with inlet spigot and supports. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Box Size: ___ | Inlet Size: ___ | Airflow: ___ | Insulation: ___ | Material: ___,,no.,,,,,,,
HVAC-AD-0146,hvac,Air Distribution – Plenums and Accessories,Linear Slot Diffuser Plenum Box,Provide and install continuous plenum box for linear slot diffuser complete with inlet spigots and internal equalization. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Length: ___ | Inlet Size/Qty: ___ | Airflow/LM: ___ | Insulation: ___ | Material: ___,,LM,,,,,,,
HVAC-AD-0147,hvac,Air Distribution – Plenums and Accessories,Grille Plenum Box,Provide and install plenum box behind grille complete with connection spigot and supports. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Box Size: ___ | Inlet Size: ___ | Airflow: ___ | Insulation: ___ | Material: ___,,no.,,,,,,,
HVAC-AD-0148,hvac,Air Distribution – Plenums and Accessories,Boot Connection for Grille or Register,Provide and install sheet-metal boot transition between duct and grille/register. | MasterFormat: 23 31 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Outlet Size: ___ | Inlet Size: ___ | Depth: ___ | Material: ___ | Pressure Class: ___,,no.,,,,,,,
HVAC-AD-0149,hvac,Air Distribution – Plenums and Accessories,Flexible Duct Connection to Diffuser,Provide and install flexible duct connection between branch duct and diffuser plenum. | MasterFormat: 23 31 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Diameter: ___ | Length: ___ | Insulation: ___ | Pressure Rating: ___ | Fire Performance: ___,,LM,,,,,,,
HVAC-AD-0150,hvac,Air Distribution – Plenums and Accessories,Rigid Duct Connection to Air Terminal,Provide and install rigid branch connection from main duct to air terminal device. | MasterFormat: 23 31 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Duct Size: ___ | Material: ___ | Pressure Class: ___ | Insulation: ___ | Seal Class: ___,,LM,,,,,,,
HVAC-AD-0151,hvac,Air Distribution – Plenums and Accessories,Air Terminal Balancing Damper,"Provide and install balancing damper serving individual diffuser, grille or register. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Damper Type: ___ | Access Method: ___ | Material: ___ | Position Indicator: ___",,no.,,,,,,,
HVAC-AD-0152,hvac,Air Distribution – Plenums and Accessories,Diffuser Blank-Off Plate,Provide and install blank-off plate to modify diffuser discharge pattern. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Diffuser Size: ___ | Blank-Off Pattern: ___ | Material: ___ | Fixing: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0153,hvac,Air Distribution – Plenums and Accessories,Linear Slot Diffuser Blank-Off Section,Provide and install inactive blank-off section within continuous linear slot diffuser. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Length: ___ | Slots: ___ | Insulation: ___ | Material: ___ | Finish: ___,,LM,,,,,,,
HVAC-AD-0154,hvac,Air Distribution – Plenums and Accessories,Linear Slot Diffuser End Cap,Provide and install factory end cap to linear slot diffuser. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Profile: ___ | Handing: ___ | Material: ___ | Fixing: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0155,hvac,Air Distribution – Plenums and Accessories,Linear Slot Diffuser Corner Section,Provide and install factory corner section for continuous slot diffuser arrangement. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Angle: ___ | Radius/Mitre: ___ | Slots: ___ | Active/Inactive: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0156,hvac,Air Distribution – Plenums and Accessories,Diffuser Equalizing Grid,Provide and install internal equalizing grid or perforated plate within plenum box. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Box Size: ___ | Grid Type: ___ | Free Area: ___ | Material: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0157,hvac,Air Distribution – Plenums and Accessories,Grille Filter Media,Provide replaceable filter media within return-air grille. | MasterFormat: 23 40 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Filter Size: ___ | Filter Class: ___ | Initial Resistance: ___ | Final Resistance: ___ | Standard: ___,,no.,,,,,,,
HVAC-AD-0158,hvac,Air Distribution – Plenums and Accessories,Diffuser or Grille Security Fixing,Provide tamper-resistant fixing set for air terminal device. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Device Type: ___ | Fastener Type: ___ | Security Grade: ___ | Material: ___ | Finish: ___,,set,,,,,,,
HVAC-AD-0159,hvac,Air Distribution – Plenums and Accessories,Air Terminal Support Frame,Provide and install independent support frame for ceiling air terminal. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Device Size: ___ | Ceiling Type: ___ | Load: ___ | Material: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0160,hvac,Air Distribution – Plenums and Accessories,Ceiling Tile Replacement Panel with Diffuser Cutout,Provide and install coordinated ceiling panel or tile with factory-prepared diffuser opening. | MasterFormat: 09 51 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Panel Size: ___ | Cutout Size: ___ | Ceiling Type: ___ | Material: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0161,hvac,Air Distribution – Plenums and Accessories,Air Terminal Identification Label,"Provide permanent identification label for diffuser, grille, damper or terminal unit. | MasterFormat: 23 05 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Tag Format: ___ | Material: ___ | Size: ___ | Fixing: ___ | Language: ___",,no.,,,,,,,
HVAC-AD-0162,hvac,Air Distribution – Plenums and Accessories,Airflow Measurement Station,Provide and install duct-mounted airflow measurement station complete with sensing grid and transmitter interface. | MasterFormat: 23 09 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Duct Size: ___ | Airflow Range: ___ | Accuracy: ___ | Output Signal: ___ | Pressure Rating: ___,,no.,,,,,,,
HVAC-AD-0163,hvac,Air Distribution – Plenums and Accessories,Airflow Measuring Damper,Provide and install balancing damper with integral airflow measurement capability. | MasterFormat: 23 33 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Airflow Range: ___ | Accuracy: ___ | Pressure Range: ___ | Material: ___,,no.,,,,,,,
