itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
HVAC-0167,hvac,Steam Piping,Steam Piping - flexible hose connector,"Supply and install flexible hose connector for steam piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0168,hvac,Steam Piping,Steam Piping - pipe anchor,"Supply and install pipe anchor for steam piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0169,hvac,Steam Piping,Steam Piping - pipe guide,"Supply and install pipe guide for steam piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0170,hvac,Steam Piping,Steam Piping - pipe sleeve,"Supply and install pipe sleeve for steam piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0171,hvac,Steam Piping,Steam Piping - puddle flange,"Supply and install puddle flange for steam piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0172,hvac,Steam Piping,Steam Piping - wall penetration seal,"Supply and install wall penetration seal for steam piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0173,hvac,Condensate Return Piping,Condensate Return Piping - carbon steel pipe,"Supply, install, joint, support, test and commission carbon steel pipe for condensate return piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Material: Carbon Steel | Size: ___ | Schedule: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0174,hvac,Condensate Return Piping,Condensate Return Piping - stainless steel pipe,"Supply, install, joint, support, test and commission stainless steel pipe for condensate return piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Grade: ___ | Size: ___ | Schedule: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0175,hvac,Condensate Return Piping,Condensate Return Piping - copper tube,"Supply, install, joint, support, test and commission copper tube for condensate return piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Type: ___ | Size: ___ | Wall Thickness: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0176,hvac,Condensate Return Piping,Condensate Return Piping - PPR pipe,"Supply, install, joint, support, test and commission PPR pipe for condensate return piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Size: ___ | SDR: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0177,hvac,Condensate Return Piping,Condensate Return Piping - HDPE pipe,"Supply, install, joint, support, test and commission HDPE pipe for condensate return piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Size: ___ | SDR: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0178,hvac,Condensate Return Piping,Condensate Return Piping - pre-insulated pipe,"Supply, install, joint, support, test and commission pre-insulated pipe for condensate return piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Carrier Pipe: ___ | Size: ___ | Insulation: ___ | Jacket: ___ | Standard: ___",,LM,,,,,,,
HVAC-0179,hvac,Condensate Return Piping,Condensate Return Piping - elbow 90 degree,"Supply and install elbow 90 degree for condensate return piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0180,hvac,Condensate Return Piping,Condensate Return Piping - elbow 45 degree,"Supply and install elbow 45 degree for condensate return piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0181,hvac,Condensate Return Piping,Condensate Return Piping - tee,"Supply and install tee for condensate return piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0182,hvac,Condensate Return Piping,Condensate Return Piping - reducer concentric,"Supply and install reducer concentric for condensate return piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0183,hvac,Condensate Return Piping,Condensate Return Piping - reducer eccentric,"Supply and install reducer eccentric for condensate return piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0184,hvac,Condensate Return Piping,Condensate Return Piping - coupling,"Supply and install coupling for condensate return piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0185,hvac,Condensate Return Piping,Condensate Return Piping - union,"Supply and install union for condensate return piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0186,hvac,Condensate Return Piping,Condensate Return Piping - flange,"Supply and install flange for condensate return piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0187,hvac,Condensate Return Piping,Condensate Return Piping - blind flange,"Supply and install blind flange for condensate return piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0188,hvac,Condensate Return Piping,Condensate Return Piping - weld neck flange,"Supply and install weld neck flange for condensate return piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0189,hvac,Condensate Return Piping,Condensate Return Piping - lap joint flange,"Supply and install lap joint flange for condensate return piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0190,hvac,Condensate Return Piping,Condensate Return Piping - grooved coupling,"Supply and install grooved coupling for condensate return piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0191,hvac,Condensate Return Piping,Condensate Return Piping - dielectric union,"Supply and install dielectric union for condensate return piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0192,hvac,Condensate Return Piping,Condensate Return Piping - expansion joint,"Supply and install expansion joint for condensate return piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0193,hvac,Condensate Return Piping,Condensate Return Piping - flexible hose connector,"Supply and install flexible hose connector for condensate return piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0194,hvac,Condensate Return Piping,Condensate Return Piping - pipe anchor,"Supply and install pipe anchor for condensate return piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0195,hvac,Condensate Return Piping,Condensate Return Piping - pipe guide,"Supply and install pipe guide for condensate return piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0196,hvac,Condensate Return Piping,Condensate Return Piping - pipe sleeve,"Supply and install pipe sleeve for condensate return piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0197,hvac,Condensate Return Piping,Condensate Return Piping - puddle flange,"Supply and install puddle flange for condensate return piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0198,hvac,Condensate Return Piping,Condensate Return Piping - wall penetration seal,"Supply and install wall penetration seal for condensate return piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 22 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0199,hvac,Refrigerant Piping,Refrigerant Piping - carbon steel pipe,"Supply, install, joint, support, test and commission carbon steel pipe for refrigerant piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Material: Carbon Steel | Size: ___ | Schedule: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0200,hvac,Refrigerant Piping,Refrigerant Piping - stainless steel pipe,"Supply, install, joint, support, test and commission stainless steel pipe for refrigerant piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Grade: ___ | Size: ___ | Schedule: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0201,hvac,Refrigerant Piping,Refrigerant Piping - copper tube,"Supply, install, joint, support, test and commission copper tube for refrigerant piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Type: ___ | Size: ___ | Wall Thickness: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0202,hvac,Refrigerant Piping,Refrigerant Piping - PPR pipe,"Supply, install, joint, support, test and commission PPR pipe for refrigerant piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Size: ___ | SDR: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0203,hvac,Refrigerant Piping,Refrigerant Piping - HDPE pipe,"Supply, install, joint, support, test and commission HDPE pipe for refrigerant piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Size: ___ | SDR: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0204,hvac,Refrigerant Piping,Refrigerant Piping - pre-insulated pipe,"Supply, install, joint, support, test and commission pre-insulated pipe for refrigerant piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Carrier Pipe: ___ | Size: ___ | Insulation: ___ | Jacket: ___ | Standard: ___",,LM,,,,,,,
HVAC-0205,hvac,Refrigerant Piping,Refrigerant Piping - elbow 90 degree,"Supply and install elbow 90 degree for refrigerant piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0206,hvac,Refrigerant Piping,Refrigerant Piping - elbow 45 degree,"Supply and install elbow 45 degree for refrigerant piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0207,hvac,Refrigerant Piping,Refrigerant Piping - tee,"Supply and install tee for refrigerant piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0208,hvac,Refrigerant Piping,Refrigerant Piping - reducer concentric,"Supply and install reducer concentric for refrigerant piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0209,hvac,Refrigerant Piping,Refrigerant Piping - reducer eccentric,"Supply and install reducer eccentric for refrigerant piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0210,hvac,Refrigerant Piping,Refrigerant Piping - coupling,"Supply and install coupling for refrigerant piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0211,hvac,Refrigerant Piping,Refrigerant Piping - union,"Supply and install union for refrigerant piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0212,hvac,Refrigerant Piping,Refrigerant Piping - flange,"Supply and install flange for refrigerant piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0213,hvac,Refrigerant Piping,Refrigerant Piping - blind flange,"Supply and install blind flange for refrigerant piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0214,hvac,Refrigerant Piping,Refrigerant Piping - weld neck flange,"Supply and install weld neck flange for refrigerant piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0215,hvac,Refrigerant Piping,Refrigerant Piping - lap joint flange,"Supply and install lap joint flange for refrigerant piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0216,hvac,Refrigerant Piping,Refrigerant Piping - grooved coupling,"Supply and install grooved coupling for refrigerant piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0217,hvac,Refrigerant Piping,Refrigerant Piping - dielectric union,"Supply and install dielectric union for refrigerant piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0218,hvac,Refrigerant Piping,Refrigerant Piping - expansion joint,"Supply and install expansion joint for refrigerant piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0219,hvac,Refrigerant Piping,Refrigerant Piping - flexible hose connector,"Supply and install flexible hose connector for refrigerant piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0220,hvac,Refrigerant Piping,Refrigerant Piping - pipe anchor,"Supply and install pipe anchor for refrigerant piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0221,hvac,Refrigerant Piping,Refrigerant Piping - pipe guide,"Supply and install pipe guide for refrigerant piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0222,hvac,Refrigerant Piping,Refrigerant Piping - pipe sleeve,"Supply and install pipe sleeve for refrigerant piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0223,hvac,Refrigerant Piping,Refrigerant Piping - puddle flange,"Supply and install puddle flange for refrigerant piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0224,hvac,Refrigerant Piping,Refrigerant Piping - wall penetration seal,"Supply and install wall penetration seal for refrigerant piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0225,hvac,Condensate Drain Piping,Condensate Drain Piping - carbon steel pipe,"Supply, install, joint, support, test and commission carbon steel pipe for condensate drain piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Material: Carbon Steel | Size: ___ | Schedule: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0226,hvac,Condensate Drain Piping,Condensate Drain Piping - stainless steel pipe,"Supply, install, joint, support, test and commission stainless steel pipe for condensate drain piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Grade: ___ | Size: ___ | Schedule: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0227,hvac,Condensate Drain Piping,Condensate Drain Piping - copper tube,"Supply, install, joint, support, test and commission copper tube for condensate drain piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Type: ___ | Size: ___ | Wall Thickness: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0228,hvac,Condensate Drain Piping,Condensate Drain Piping - PPR pipe,"Supply, install, joint, support, test and commission PPR pipe for condensate drain piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Size: ___ | SDR: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0229,hvac,Condensate Drain Piping,Condensate Drain Piping - HDPE pipe,"Supply, install, joint, support, test and commission HDPE pipe for condensate drain piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Size: ___ | SDR: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0230,hvac,Condensate Drain Piping,Condensate Drain Piping - pre-insulated pipe,"Supply, install, joint, support, test and commission pre-insulated pipe for condensate drain piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Carrier Pipe: ___ | Size: ___ | Insulation: ___ | Jacket: ___ | Standard: ___",,LM,,,,,,,
HVAC-0231,hvac,Condensate Drain Piping,Condensate Drain Piping - elbow 90 degree,"Supply and install elbow 90 degree for condensate drain piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0232,hvac,Condensate Drain Piping,Condensate Drain Piping - elbow 45 degree,"Supply and install elbow 45 degree for condensate drain piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0233,hvac,Condensate Drain Piping,Condensate Drain Piping - tee,"Supply and install tee for condensate drain piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0234,hvac,Condensate Drain Piping,Condensate Drain Piping - reducer concentric,"Supply and install reducer concentric for condensate drain piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0235,hvac,Condensate Drain Piping,Condensate Drain Piping - reducer eccentric,"Supply and install reducer eccentric for condensate drain piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0236,hvac,Condensate Drain Piping,Condensate Drain Piping - coupling,"Supply and install coupling for condensate drain piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0237,hvac,Condensate Drain Piping,Condensate Drain Piping - union,"Supply and install union for condensate drain piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0238,hvac,Condensate Drain Piping,Condensate Drain Piping - flange,"Supply and install flange for condensate drain piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0239,hvac,Condensate Drain Piping,Condensate Drain Piping - blind flange,"Supply and install blind flange for condensate drain piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 23 00 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
