itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-11396,plumbing,Valves and Piping Specialties,Domestic Cold Water - Air Release Valve - 125-200 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission air release valve for domestic cold water, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11853,plumbing,Valves and Piping Specialties,Fountain Circulation - Vacuum Breaker - 32-50 mm,"Subcategory: Fountain Circulation | Supply, install, test and commission vacuum breaker for fountain circulation, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11854,plumbing,Valves and Piping Specialties,Fountain Circulation - Vacuum Breaker - 65-100 mm,"Subcategory: Fountain Circulation | Supply, install, test and commission vacuum breaker for fountain circulation, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11855,plumbing,Valves and Piping Specialties,Fountain Circulation - Water Hammer Arrestor - 125-200 mm,"Subcategory: Fountain Circulation | Supply, install, test and commission water hammer arrestor for fountain circulation, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11856,plumbing,Valves and Piping Specialties,Fountain Circulation - Water Hammer Arrestor - 15-25 mm,"Subcategory: Fountain Circulation | Supply, install, test and commission water hammer arrestor for fountain circulation, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11857,plumbing,Valves and Piping Specialties,Fountain Circulation - Water Hammer Arrestor - 32-50 mm,"Subcategory: Fountain Circulation | Supply, install, test and commission water hammer arrestor for fountain circulation, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11858,plumbing,Valves and Piping Specialties,Fountain Circulation - Water Hammer Arrestor - 65-100 mm,"Subcategory: Fountain Circulation | Supply, install, test and commission water hammer arrestor for fountain circulation, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11859,plumbing,Valves and Piping Specialties,Fountain Circulation - Y Strainer - 125-200 mm,"Subcategory: Fountain Circulation | Supply, install, test and commission y strainer for fountain circulation, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11860,plumbing,Valves and Piping Specialties,Fountain Circulation - Y Strainer - 15-25 mm,"Subcategory: Fountain Circulation | Supply, install, test and commission y strainer for fountain circulation, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11861,plumbing,Valves and Piping Specialties,Fountain Circulation - Y Strainer - 250-400 mm,"Subcategory: Fountain Circulation | Supply, install, test and commission y strainer for fountain circulation, size band 250-400 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11862,plumbing,Valves and Piping Specialties,Fountain Circulation - Y Strainer - 32-50 mm,"Subcategory: Fountain Circulation | Supply, install, test and commission y strainer for fountain circulation, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11863,plumbing,Valves and Piping Specialties,Fountain Circulation - Y Strainer - 65-100 mm,"Subcategory: Fountain Circulation | Supply, install, test and commission y strainer for fountain circulation, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11864,plumbing,Valves and Piping Specialties,Greywater Distribution - Air Release Valve - 125-200 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission air release valve for greywater distribution, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11865,plumbing,Valves and Piping Specialties,Greywater Distribution - Air Release Valve - 15-25 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission air release valve for greywater distribution, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11866,plumbing,Valves and Piping Specialties,Greywater Distribution - Air Release Valve - 250-400 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission air release valve for greywater distribution, size band 250-400 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11867,plumbing,Valves and Piping Specialties,Greywater Distribution - Air Release Valve - 32-50 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission air release valve for greywater distribution, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11868,plumbing,Valves and Piping Specialties,Greywater Distribution - Air Release Valve - 65-100 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission air release valve for greywater distribution, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11869,plumbing,Valves and Piping Specialties,Greywater Distribution - Backflow Preventer - 125-200 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission backflow preventer for greywater distribution, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11870,plumbing,Valves and Piping Specialties,Greywater Distribution - Backflow Preventer - 15-25 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission backflow preventer for greywater distribution, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11871,plumbing,Valves and Piping Specialties,Greywater Distribution - Backflow Preventer - 250-400 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission backflow preventer for greywater distribution, size band 250-400 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11872,plumbing,Valves and Piping Specialties,Greywater Distribution - Backflow Preventer - 32-50 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission backflow preventer for greywater distribution, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11873,plumbing,Valves and Piping Specialties,Greywater Distribution - Backflow Preventer - 65-100 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission backflow preventer for greywater distribution, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11874,plumbing,Valves and Piping Specialties,Greywater Distribution - Balancing Valve - 125-200 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission balancing valve for greywater distribution, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11875,plumbing,Valves and Piping Specialties,Greywater Distribution - Balancing Valve - 15-25 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission balancing valve for greywater distribution, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11876,plumbing,Valves and Piping Specialties,Greywater Distribution - Balancing Valve - 250-400 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission balancing valve for greywater distribution, size band 250-400 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11877,plumbing,Valves and Piping Specialties,Greywater Distribution - Balancing Valve - 32-50 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission balancing valve for greywater distribution, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11878,plumbing,Valves and Piping Specialties,Greywater Distribution - Balancing Valve - 65-100 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission balancing valve for greywater distribution, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11879,plumbing,Valves and Piping Specialties,Greywater Distribution - Ball Valve - 125-200 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission ball valve for greywater distribution, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11880,plumbing,Valves and Piping Specialties,Greywater Distribution - Ball Valve - 15-25 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission ball valve for greywater distribution, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11881,plumbing,Valves and Piping Specialties,Greywater Distribution - Ball Valve - 32-50 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission ball valve for greywater distribution, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11882,plumbing,Valves and Piping Specialties,Greywater Distribution - Ball Valve - 65-100 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission ball valve for greywater distribution, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11883,plumbing,Valves and Piping Specialties,Greywater Distribution - Basket Strainer - 125-200 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission basket strainer for greywater distribution, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11884,plumbing,Valves and Piping Specialties,Greywater Distribution - Basket Strainer - 15-25 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission basket strainer for greywater distribution, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11885,plumbing,Valves and Piping Specialties,Greywater Distribution - Basket Strainer - 250-400 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission basket strainer for greywater distribution, size band 250-400 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11886,plumbing,Valves and Piping Specialties,Greywater Distribution - Basket Strainer - 32-50 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission basket strainer for greywater distribution, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11887,plumbing,Valves and Piping Specialties,Greywater Distribution - Basket Strainer - 65-100 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission basket strainer for greywater distribution, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11888,plumbing,Valves and Piping Specialties,Greywater Distribution - Butterfly Valve - 125-200 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission butterfly valve for greywater distribution, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11889,plumbing,Valves and Piping Specialties,Greywater Distribution - Butterfly Valve - 15-25 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission butterfly valve for greywater distribution, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11890,plumbing,Valves and Piping Specialties,Greywater Distribution - Butterfly Valve - 250-400 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission butterfly valve for greywater distribution, size band 250-400 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11891,plumbing,Valves and Piping Specialties,Greywater Distribution - Butterfly Valve - 32-50 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission butterfly valve for greywater distribution, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11892,plumbing,Valves and Piping Specialties,Greywater Distribution - Butterfly Valve - 65-100 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission butterfly valve for greywater distribution, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11893,plumbing,Valves and Piping Specialties,Greywater Distribution - Check Valve - 125-200 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission check valve for greywater distribution, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11894,plumbing,Valves and Piping Specialties,Greywater Distribution - Check Valve - 15-25 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission check valve for greywater distribution, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11895,plumbing,Valves and Piping Specialties,Greywater Distribution - Check Valve - 250-400 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission check valve for greywater distribution, size band 250-400 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11896,plumbing,Valves and Piping Specialties,Greywater Distribution - Check Valve - 32-50 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission check valve for greywater distribution, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11897,plumbing,Valves and Piping Specialties,Greywater Distribution - Check Valve - 65-100 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission check valve for greywater distribution, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11898,plumbing,Valves and Piping Specialties,Greywater Distribution - Commissioning Valve - 125-200 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission commissioning valve for greywater distribution, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11899,plumbing,Valves and Piping Specialties,Greywater Distribution - Commissioning Valve - 15-25 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission commissioning valve for greywater distribution, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11900,plumbing,Valves and Piping Specialties,Greywater Distribution - Commissioning Valve - 250-400 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission commissioning valve for greywater distribution, size band 250-400 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11901,plumbing,Valves and Piping Specialties,Greywater Distribution - Commissioning Valve - 32-50 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission commissioning valve for greywater distribution, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11902,plumbing,Valves and Piping Specialties,Greywater Distribution - Commissioning Valve - 65-100 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission commissioning valve for greywater distribution, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11903,plumbing,Valves and Piping Specialties,Greywater Distribution - Double Check Valve - 125-200 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission double check valve for greywater distribution, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11904,plumbing,Valves and Piping Specialties,Greywater Distribution - Double Check Valve - 15-25 mm,"Subcategory: Greywater Distribution | Supply, install, test and commission double check valve for greywater distribution, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
