itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-00514,plumbing,Piping Systems,Compressed Air - Aluminum Modular Air Pipe - 45 Degree Elbow - 15-25 mm,"Subcategory: Compressed Air | Supply, install, joint, support, identify, test and commission Aluminum Modular Air Pipe 45 degree elbow for compressed air, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 61 13 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Working Pressure: ___ | Air Quality Class: ___ | Pipe Standard: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-01070,plumbing,Piping Systems,Condensate Drainage - uPVC - Straight Pipe - 250-400 mm,"Subcategory: Condensate Drainage | Supply, install, joint, support, identify, test and commission uPVC straight pipe for condensate drainage, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Temperature Rating: ___ | Pipe Standard: ___ | Trap Requirement: ___ | Insulation: ___",,LM,,,,,,,
PLUMB-01071,plumbing,Piping Systems,Condensate Drainage - uPVC - Straight Pipe - 32-50 mm,"Subcategory: Condensate Drainage | Supply, install, joint, support, identify, test and commission uPVC straight pipe for condensate drainage, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Temperature Rating: ___ | Pipe Standard: ___ | Trap Requirement: ___ | Insulation: ___",,LM,,,,,,,
PLUMB-01072,plumbing,Piping Systems,Condensate Drainage - uPVC - Straight Pipe - 65-100 mm,"Subcategory: Condensate Drainage | Supply, install, joint, support, identify, test and commission uPVC straight pipe for condensate drainage, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Temperature Rating: ___ | Pipe Standard: ___ | Trap Requirement: ___ | Insulation: ___",,LM,,,,,,,
PLUMB-01073,plumbing,Piping Systems,Condensate Drainage - uPVC - Union - 125-200 mm,"Subcategory: Condensate Drainage | Supply, install, joint, support, identify, test and commission uPVC union for condensate drainage, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Temperature Rating: ___ | Pipe Standard: ___ | Trap Requirement: ___ | Insulation: ___",,no.,,,,,,,
PLUMB-01074,plumbing,Piping Systems,Condensate Drainage - uPVC - Union - 15-25 mm,"Subcategory: Condensate Drainage | Supply, install, joint, support, identify, test and commission uPVC union for condensate drainage, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Temperature Rating: ___ | Pipe Standard: ___ | Trap Requirement: ___ | Insulation: ___",,no.,,,,,,,
PLUMB-01075,plumbing,Piping Systems,Condensate Drainage - uPVC - Union - 32-50 mm,"Subcategory: Condensate Drainage | Supply, install, joint, support, identify, test and commission uPVC union for condensate drainage, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Temperature Rating: ___ | Pipe Standard: ___ | Trap Requirement: ___ | Insulation: ___",,no.,,,,,,,
PLUMB-01076,plumbing,Piping Systems,Condensate Drainage - uPVC - Union - 65-100 mm,"Subcategory: Condensate Drainage | Supply, install, joint, support, identify, test and commission uPVC union for condensate drainage, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Temperature Rating: ___ | Pipe Standard: ___ | Trap Requirement: ___ | Insulation: ___",,no.,,,,,,,
PLUMB-01077,plumbing,Piping Systems,Condensate Drainage - uPVC - Wall Flange - 125-200 mm,"Subcategory: Condensate Drainage | Supply, install, joint, support, identify, test and commission uPVC wall flange for condensate drainage, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Temperature Rating: ___ | Pipe Standard: ___ | Trap Requirement: ___ | Insulation: ___",,no.,,,,,,,
PLUMB-01078,plumbing,Piping Systems,Condensate Drainage - uPVC - Wall Flange - 15-25 mm,"Subcategory: Condensate Drainage | Supply, install, joint, support, identify, test and commission uPVC wall flange for condensate drainage, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Temperature Rating: ___ | Pipe Standard: ___ | Trap Requirement: ___ | Insulation: ___",,no.,,,,,,,
PLUMB-01079,plumbing,Piping Systems,Condensate Drainage - uPVC - Wall Flange - 250-400 mm,"Subcategory: Condensate Drainage | Supply, install, joint, support, identify, test and commission uPVC wall flange for condensate drainage, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Temperature Rating: ___ | Pipe Standard: ___ | Trap Requirement: ___ | Insulation: ___",,no.,,,,,,,
PLUMB-01080,plumbing,Piping Systems,Condensate Drainage - uPVC - Wall Flange - 32-50 mm,"Subcategory: Condensate Drainage | Supply, install, joint, support, identify, test and commission uPVC wall flange for condensate drainage, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Temperature Rating: ___ | Pipe Standard: ___ | Trap Requirement: ___ | Insulation: ___",,no.,,,,,,,
PLUMB-01081,plumbing,Piping Systems,Condensate Drainage - uPVC - Wall Flange - 65-100 mm,"Subcategory: Condensate Drainage | Supply, install, joint, support, identify, test and commission uPVC wall flange for condensate drainage, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Temperature Rating: ___ | Pipe Standard: ___ | Trap Requirement: ___ | Insulation: ___",,no.,,,,,,,
PLUMB-01082,plumbing,Piping Systems,Deionized Water - PP-H - 45 Degree Elbow - 125-200 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H 45 degree elbow for deionized water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01083,plumbing,Piping Systems,Deionized Water - PP-H - 45 Degree Elbow - 15-25 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H 45 degree elbow for deionized water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01084,plumbing,Piping Systems,Deionized Water - PP-H - 45 Degree Elbow - 250-400 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H 45 degree elbow for deionized water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01085,plumbing,Piping Systems,Deionized Water - PP-H - 45 Degree Elbow - 32-50 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H 45 degree elbow for deionized water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01086,plumbing,Piping Systems,Deionized Water - PP-H - 45 Degree Elbow - 65-100 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H 45 degree elbow for deionized water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01087,plumbing,Piping Systems,Deionized Water - PP-H - 90 Degree Elbow - 125-200 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H 90 degree elbow for deionized water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01088,plumbing,Piping Systems,Deionized Water - PP-H - 90 Degree Elbow - 15-25 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H 90 degree elbow for deionized water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01089,plumbing,Piping Systems,Deionized Water - PP-H - 90 Degree Elbow - 250-400 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H 90 degree elbow for deionized water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01090,plumbing,Piping Systems,Deionized Water - PP-H - 90 Degree Elbow - 32-50 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H 90 degree elbow for deionized water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01091,plumbing,Piping Systems,Deionized Water - PP-H - 90 Degree Elbow - 65-100 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H 90 degree elbow for deionized water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01092,plumbing,Piping Systems,Deionized Water - PP-H - Access Fitting - 125-200 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H access fitting for deionized water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01093,plumbing,Piping Systems,Deionized Water - PP-H - Access Fitting - 15-25 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H access fitting for deionized water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01094,plumbing,Piping Systems,Deionized Water - PP-H - Access Fitting - 32-50 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H access fitting for deionized water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01095,plumbing,Piping Systems,Deionized Water - PP-H - Access Fitting - 65-100 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H access fitting for deionized water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01096,plumbing,Piping Systems,Deionized Water - PP-H - Cleanout Fitting - 125-200 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H cleanout fitting for deionized water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01097,plumbing,Piping Systems,Deionized Water - PP-H - Cleanout Fitting - 15-25 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H cleanout fitting for deionized water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01098,plumbing,Piping Systems,Deionized Water - PP-H - Cleanout Fitting - 32-50 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H cleanout fitting for deionized water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01099,plumbing,Piping Systems,Deionized Water - PP-H - Cleanout Fitting - 65-100 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H cleanout fitting for deionized water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01100,plumbing,Piping Systems,Deionized Water - PP-H - Concentric Reducer - 125-200 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H concentric reducer for deionized water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01101,plumbing,Piping Systems,Deionized Water - PP-H - Concentric Reducer - 15-25 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H concentric reducer for deionized water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01102,plumbing,Piping Systems,Deionized Water - PP-H - Concentric Reducer - 250-400 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H concentric reducer for deionized water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01103,plumbing,Piping Systems,Deionized Water - PP-H - Concentric Reducer - 32-50 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H concentric reducer for deionized water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01104,plumbing,Piping Systems,Deionized Water - PP-H - Concentric Reducer - 65-100 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H concentric reducer for deionized water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01105,plumbing,Piping Systems,Deionized Water - PP-H - Coupling - 125-200 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H coupling for deionized water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01106,plumbing,Piping Systems,Deionized Water - PP-H - Coupling - 15-25 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H coupling for deionized water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01107,plumbing,Piping Systems,Deionized Water - PP-H - Coupling - 250-400 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H coupling for deionized water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01108,plumbing,Piping Systems,Deionized Water - PP-H - Coupling - 32-50 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H coupling for deionized water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01109,plumbing,Piping Systems,Deionized Water - PP-H - Coupling - 65-100 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H coupling for deionized water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01110,plumbing,Piping Systems,Deionized Water - PP-H - Dismantling Joint - 125-200 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H dismantling joint for deionized water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01111,plumbing,Piping Systems,Deionized Water - PP-H - Dismantling Joint - 15-25 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H dismantling joint for deionized water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01112,plumbing,Piping Systems,Deionized Water - PP-H - Dismantling Joint - 250-400 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H dismantling joint for deionized water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01113,plumbing,Piping Systems,Deionized Water - PP-H - Dismantling Joint - 32-50 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H dismantling joint for deionized water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01114,plumbing,Piping Systems,Deionized Water - PP-H - Dismantling Joint - 65-100 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H dismantling joint for deionized water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01115,plumbing,Piping Systems,Deionized Water - PP-H - Eccentric Reducer - 125-200 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H eccentric reducer for deionized water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01116,plumbing,Piping Systems,Deionized Water - PP-H - Eccentric Reducer - 15-25 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H eccentric reducer for deionized water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01117,plumbing,Piping Systems,Deionized Water - PP-H - Eccentric Reducer - 250-400 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H eccentric reducer for deionized water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01118,plumbing,Piping Systems,Deionized Water - PP-H - Eccentric Reducer - 32-50 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H eccentric reducer for deionized water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01119,plumbing,Piping Systems,Deionized Water - PP-H - Eccentric Reducer - 65-100 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H eccentric reducer for deionized water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01120,plumbing,Piping Systems,Deionized Water - PP-H - End Cap - 125-200 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H end cap for deionized water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
PLUMB-01121,plumbing,Piping Systems,Deionized Water - PP-H - End Cap - 15-25 mm,"Subcategory: Deionized Water | Supply, install, joint, support, identify, test and commission PP-H end cap for deionized water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 67 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Resistivity: ___ | Pipe Standard: ___ | Surface Finish: ___",,no.,,,,,,,
