itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-11312,plumbing,Pool and Fountain Plumbing,Air Blower - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial air blower for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11365,plumbing,Pool and Fountain Plumbing,Pool Cover - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential pool cover for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11366,plumbing,Pool and Fountain Plumbing,Pool Filter - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial pool filter for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11367,plumbing,Pool and Fountain Plumbing,Pool Filter - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty pool filter for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11368,plumbing,Pool and Fountain Plumbing,Pool Filter - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential pool filter for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11369,plumbing,Pool and Fountain Plumbing,Pool Heater - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial pool heater for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11370,plumbing,Pool and Fountain Plumbing,Pool Heater - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty pool heater for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11371,plumbing,Pool and Fountain Plumbing,Pool Heater - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential pool heater for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11372,plumbing,Pool and Fountain Plumbing,Pool Inlet Nozzle - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial pool inlet nozzle for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11373,plumbing,Pool and Fountain Plumbing,Pool Inlet Nozzle - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty pool inlet nozzle for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11374,plumbing,Pool and Fountain Plumbing,Pool Inlet Nozzle - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential pool inlet nozzle for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11375,plumbing,Pool and Fountain Plumbing,Pool Skimmer - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial pool skimmer for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11376,plumbing,Pool and Fountain Plumbing,Pool Skimmer - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty pool skimmer for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11377,plumbing,Pool and Fountain Plumbing,Pool Skimmer - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential pool skimmer for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11378,plumbing,Pool and Fountain Plumbing,Salt Chlorinator - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial salt chlorinator for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11379,plumbing,Pool and Fountain Plumbing,Salt Chlorinator - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty salt chlorinator for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11380,plumbing,Pool and Fountain Plumbing,Salt Chlorinator - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential salt chlorinator for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11381,plumbing,Pool and Fountain Plumbing,UV Pool Disinfection Unit - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial uv pool disinfection unit for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11382,plumbing,Pool and Fountain Plumbing,UV Pool Disinfection Unit - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty uv pool disinfection unit for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11383,plumbing,Pool and Fountain Plumbing,UV Pool Disinfection Unit - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential uv pool disinfection unit for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11384,plumbing,Pool and Fountain Plumbing,Underwater Light Niche - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial underwater light niche for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11385,plumbing,Pool and Fountain Plumbing,Underwater Light Niche - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty underwater light niche for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11386,plumbing,Pool and Fountain Plumbing,Underwater Light Niche - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential underwater light niche for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11387,plumbing,Pool and Fountain Plumbing,Vacuum Point - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial vacuum point for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11388,plumbing,Pool and Fountain Plumbing,Vacuum Point - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty vacuum point for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11389,plumbing,Pool and Fountain Plumbing,Vacuum Point - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential vacuum point for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11390,plumbing,Pool and Fountain Plumbing,Water Level Controller - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial water level controller for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11391,plumbing,Pool and Fountain Plumbing,Water Level Controller - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty water level controller for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11392,plumbing,Pool and Fountain Plumbing,Water Level Controller - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential water level controller for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11393,plumbing,Pool and Fountain Plumbing,Wind Sensor for Fountain - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial wind sensor for fountain for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11394,plumbing,Pool and Fountain Plumbing,Wind Sensor for Fountain - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty wind sensor for fountain for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11395,plumbing,Pool and Fountain Plumbing,Wind Sensor for Fountain - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential wind sensor for fountain for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
