itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-03514,plumbing,Piping Systems,Greywater Distribution - uPVC Pressure - 90 Degree Elbow - 250-400 mm,"Subcategory: Greywater Distribution | Supply, install, joint, support, identify, test and commission uPVC Pressure 90 degree elbow for greywater distribution, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Treatment Class: ___ | Pipe Standard: ___ | Identification: ___",,no.,,,,,,,
PLUMB-04353,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Pipe Sleeve - 250-400 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L pipe sleeve for hot water return, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04354,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Pipe Sleeve - 32-50 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L pipe sleeve for hot water return, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04355,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Pipe Sleeve - 65-100 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L pipe sleeve for hot water return, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04356,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Puddle Flange - 125-200 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L puddle flange for hot water return, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04357,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Puddle Flange - 15-25 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L puddle flange for hot water return, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04358,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Puddle Flange - 250-400 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L puddle flange for hot water return, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04359,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Puddle Flange - 32-50 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L puddle flange for hot water return, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04360,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Puddle Flange - 65-100 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L puddle flange for hot water return, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04361,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Reducing Tee - 125-200 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L reducing tee for hot water return, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04362,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Reducing Tee - 15-25 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L reducing tee for hot water return, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04363,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Reducing Tee - 250-400 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L reducing tee for hot water return, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04364,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Reducing Tee - 32-50 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L reducing tee for hot water return, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04365,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Reducing Tee - 65-100 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L reducing tee for hot water return, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04366,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Straight Pipe - 125-200 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L straight pipe for hot water return, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,LM,,,,,,,
PLUMB-04367,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Straight Pipe - 15-25 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L straight pipe for hot water return, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,LM,,,,,,,
PLUMB-04368,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Straight Pipe - 250-400 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L straight pipe for hot water return, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,LM,,,,,,,
PLUMB-04369,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Straight Pipe - 32-50 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L straight pipe for hot water return, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,LM,,,,,,,
PLUMB-04370,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Straight Pipe - 65-100 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L straight pipe for hot water return, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,LM,,,,,,,
PLUMB-04371,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Union - 125-200 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L union for hot water return, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04372,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Union - 15-25 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L union for hot water return, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04373,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Union - 32-50 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L union for hot water return, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04374,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Union - 65-100 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L union for hot water return, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04375,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Wall Flange - 125-200 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L wall flange for hot water return, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04376,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Wall Flange - 15-25 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L wall flange for hot water return, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04377,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Wall Flange - 250-400 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L wall flange for hot water return, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04378,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Wall Flange - 32-50 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L wall flange for hot water return, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04379,plumbing,Piping Systems,Hot Water Return - Stainless Steel 316L - Wall Flange - 65-100 mm,"Subcategory: Hot Water Return | Supply, install, joint, support, identify, test and commission Stainless Steel 316L wall flange for hot water return, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 11 16 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Design Temperature: ___ | Pipe Standard: ___ | Balancing Requirement: ___",,no.,,,,,,,
PLUMB-04380,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - 45 Degree Elbow - 125-200 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 45 degree elbow for irrigation water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04381,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - 45 Degree Elbow - 15-25 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 45 degree elbow for irrigation water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04382,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - 45 Degree Elbow - 250-400 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 45 degree elbow for irrigation water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04383,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - 45 Degree Elbow - 32-50 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 45 degree elbow for irrigation water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04384,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - 45 Degree Elbow - 65-100 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 45 degree elbow for irrigation water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04385,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - 90 Degree Elbow - 125-200 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 90 degree elbow for irrigation water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04386,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - 90 Degree Elbow - 15-25 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 90 degree elbow for irrigation water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04387,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - 90 Degree Elbow - 250-400 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 90 degree elbow for irrigation water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04388,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - 90 Degree Elbow - 32-50 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 90 degree elbow for irrigation water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04389,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - 90 Degree Elbow - 65-100 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 90 degree elbow for irrigation water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04390,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - Access Fitting - 125-200 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 access fitting for irrigation water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04391,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - Access Fitting - 15-25 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 access fitting for irrigation water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04392,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - Access Fitting - 32-50 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 access fitting for irrigation water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04393,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - Access Fitting - 65-100 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 access fitting for irrigation water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04394,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - Cleanout Fitting - 125-200 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 cleanout fitting for irrigation water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04395,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - Cleanout Fitting - 15-25 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 cleanout fitting for irrigation water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04396,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - Cleanout Fitting - 32-50 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 cleanout fitting for irrigation water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04397,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - Cleanout Fitting - 65-100 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 cleanout fitting for irrigation water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04398,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - Concentric Reducer - 125-200 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 concentric reducer for irrigation water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04399,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - Concentric Reducer - 15-25 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 concentric reducer for irrigation water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04400,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - Concentric Reducer - 250-400 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 concentric reducer for irrigation water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04401,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - Concentric Reducer - 32-50 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 concentric reducer for irrigation water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04402,plumbing,Piping Systems,Irrigation Water - HDPE PE100 - Concentric Reducer - 65-100 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission HDPE PE100 concentric reducer for irrigation water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
